@relation InitialSetByLHS

@attribute write_request_timeout_in_ms numeric
@attribute read_request_timeout_in_ms numeric
@attribute commitlog_total_space_in_mb numeric
@attribute key_cache_size_in_mb numeric
@attribute commitlog_segment_size_in_mb numeric
@attribute dynamic_snitch_badness_threshold numeric
@attribute index_summary_capacity_in_mb numeric
@attribute key_cache_save_period numeric
@attribute file_cache_size_in_mb numeric
@attribute thrift_framed_transport_size_in_mb numeric
@attribute memtable_heap_space_in_mb numeric
@attribute concurrent_writes numeric
@attribute index_summary_resize_interval_in_minutes numeric
@attribute commitlog_sync_period_in_ms numeric
@attribute range_request_timeout_in_ms numeric
@attribute rpc_min_threads numeric
@attribute batch_size_warn_threshold_in_kb numeric
@attribute concurrent_reads numeric
@attribute column_index_size_in_kb numeric
@attribute dynamic_snitch_update_interval_in_ms numeric
@attribute memtable_flush_writers numeric
@attribute request_timeout_in_ms numeric
@attribute cas_contention_timeout_in_ms numeric
@attribute permissions_validity_in_ms numeric
@attribute rpc_max_threads numeric
@attribute truncate_request_timeout_in_ms numeric
@attribute stream_throughput_outbound_megabits_per_sec numeric
@attribute memtable_offheap_space_in_mb numeric
@attribute performance numeric

@data
2000,5000,8192,100,32,0.1,100,14400,512,15,2048,32,60,10000,10000,16,5,32,64,100,8,10000,1000,2000,2048,60000,200,2048,1784.99
2634,107928,14630,9986,2016,0.61303,9313,4812,8611,11.042628,8489,3203,2.353473,188559,50363,756,9478386,2504,61355,46453,28.466041,52248,133558,9506,2112,34524,7356,2623,2226.05
4479,37943,9898,4017,1439,0.811839,1814,2808,4246,13.570016,15104,1925,4.860967,240667,145247,906,7165110,663,37818,10108,24.021508,41060,91605,32245,1381,13543,440,191,1953.76
5444,121421,2962,1953,475,0.544596,13082,12820,13747,22.25758,16122,1833,1.373055,56492,182205,1009,1143609,2441,5339,194934,11.019124,236595,138061,22412,2343,194157,1115,7317,1617.65
9628,44671,3581,8238,1937,0.845951,5060,8518,1071,22.051045,14028,2794,3.834772,252758,97398,818,2451366,3906,24385,126057,8.888266,37160,187958,56423,3099,124266,4933,6164,1710.88
11963,93541,4442,13503,1647,0.355849,7467,10166,16071,24.435428,10954,2971,2.133565,249180,90676,365,10887513,84,40433,136584,15.649218,220250,105140,265502,3157,212610,8943,4128,1770.63
15543,144450,4599,13097,1621,0.201192,2796,2644,8741,17.299731,1372,2896,2.754428,140813,115576,380,2790772,308,14920,132687,33.635396,146571,183715,64287,2162,188809,523,3320,1676.53
18182,218779,7969,12099,582,0.213562,12370,4342,5623,3.746094,5399,1147,2.7127,265865,158899,532,9942358,1081,20198,183578,19.505708,255041,21041,171113,3780,191419,1582,8241,1626.11
19854,206600,524,15414,1124,0.984966,1398,1749,12291,15.338325,10802,2865,1.79867,116566,265788,623,2611189,3729,55155,166993,12.445938,108867,110156,237173,3037,196275,4636,7874,1889.87
22110,94565,9212,4493,1083,0.720624,5356,12456,3694,23.092626,11331,3985,2.223931,254914,9961,250,16346703,3688,58004,191874,2.186632,173526,268944,69120,3618,225772,5505,1717,1598.8
25767,163445,2272,8008,1166,0.571007,7779,3353,10399,14.603409,864,838,1.929015,50964,261899,431,16165677,1530,36131,173289,9.282075,103860,221881,162597,1061,176817,6613,7377,1399.99
27355,186789,11116,275,563,0.064285,15412,4650,10580,26.779385,8948,845,2.655157,148431,150623,43,4426,1200,46849,19564,28.360437,118582,92894,90386,3922,182022,5706,2224,1929.02
30257,260808,8369,2304,768,0.035378,5163,3144,3399,19.40957,12444,1791,3.2801,104751,62902,848,14065859,2838,60038,143799,23.199175,69050,204881,3236,2901,150057,221,5395,2035.61
33931,232216,7084,2816,134,0.698676,676,4508,9816,5.695488,6724,2921,1.588669,132544,179913,852,6224253,3334,58546,205024,21.432089,185480,258249,246674,3253,29231,3184,1814,1949.7
35911,236575,12003,104,1797,0.278352,208,8114,4454,12.954718,3809,3156,3.193442,201388,160023,568,4684124,3513,4834,231625,9.675348,245908,12823,155903,1164,113457,6524,10576,1926.58
38681,190430,16128,7120,1546,0.282972,4165,7550,1338,25.521915,10204,2173,1.219121,209371,7735,438,13179101,1255,27494,149885,3.478994,198562,263916,39563,2402,60564,4505,15650,1457.6
42998,12257,13416,8028,960,0.109825,11049,7272,7754,11.8567,4397,2659,3.096316,225582,213727,792,15379695,3250,13913,77457,31.628198,4623,207973,103725,3597,64248,7920,3176,1536.35
