@relation InitialSetByLHS

@attribute yarnyarn.timeline-service.client.retry-interval-ms numeric
@attribute mapredmapreduce.reduce.shuffle.retry-delay.max.ms numeric
@attribute mapredmapreduce.jobtracker.jobhistory.block.size numeric
@attribute mapredmapreduce.reduce.shuffle.parallelcopies numeric
@attribute mapredmapreduce.job.jvm.numtasks numeric
@attribute yarnyarn.nodemanager.disk-health-checker.min-healthy-disks numeric
@attribute mapredmapreduce.tasktracker.map.tasks.maximum numeric
@attribute mapredmapreduce.reduce.shuffle.read.timeout numeric
@attribute mapredmapreduce.job.reduces numeric
@attribute yarnyarn.resourcemanager.connect.retry-interval.ms numeric
@attribute yarnyarn.dispatcher.drain-events.timeout numeric
@attribute yarnyarn.client.failover-retries-on-socket-timeouts numeric
@attribute mapredmapreduce.job.speculative.slowtaskthreshold numeric
@attribute mapredmapreduce.jobtracker.heartbeats.in.second numeric
@attribute mapredmapreduce.job.max.split.locations numeric
@attribute mapredyarn.app.mapreduce.client.max-retries numeric
@attribute yarnyarn.scheduler.maximum-allocation-mb numeric
@attribute yarnyarn.timeline-service.handler-thread-count numeric
@attribute mapredmapreduce.job.end-notification.max.attempts numeric
@attribute mapredmapreduce.job.reducer.unconditional-preempt.delay.sec numeric
@attribute yarnyarn.resourcemanager.client.thread-count numeric
@attribute mapredmapreduce.job.maxtaskfailures.per.tracker numeric
@attribute mapredmapreduce.reduce.shuffle.connect.timeout numeric
@attribute mapredmapreduce.shuffle.max.threads numeric
@attribute mapredmapreduce.shuffle.connection-keep-alive.timeout numeric
@attribute yarnyarn.resourcemanager.resource-tracker.client.thread-count numeric
@attribute yarnyarn.resourcemanager.connect.max-wait.ms numeric
@attribute yarnyarn.nodemanager.resource.percentage-physical-cpu-limit numeric
@attribute yarnyarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms numeric
@attribute mapredmapreduce.jobhistory.loadedjobs.cache.size numeric
@attribute mapredmapreduce.task.timeout numeric
@attribute yarnyarn.nodemanager.container-manager.thread-count numeric
@attribute mapredmapreduce.map.memory.mb numeric
@attribute mapredmapreduce.task.io.sort.mb numeric
@attribute mapredmapreduce.jobtracker.expire.trackers.interval numeric
@attribute mapredmapreduce.map.skip.maxrecords numeric
@attribute yarnyarn.nodemanager.resource.cpu-vcores numeric
@attribute mapredmapreduce.jobhistory.datestring.cache.size numeric
@attribute yarnyarn.client.nodemanager-connect.retry-interval-ms numeric
@attribute mapredmapreduce.jobtracker.retiredjobs.cache.size numeric
@attribute mapredmapreduce.job.reduce.slowstart.completedmaps numeric
@attribute mapredmapreduce.task.io.sort.factor numeric
@attribute yarnyarn.nodemanager.localizer.client.thread-count numeric
@attribute yarnyarn.nodemanager.resource.memory-mb numeric
@attribute mapredmapreduce.input.lineinputformat.linespermap numeric
@attribute mapredmapreduce.jobtracker.jobhistory.lru.cache.size numeric
@attribute mapredmapreduce.task.merge.progress.records numeric
@attribute mapredmapreduce.shuffle.max.connections numeric
@attribute mapredmapreduce.reduce.memory.mb numeric
@attribute yarnyarn.timeline-service.client.max-retries numeric
@attribute mapredmapreduce.jobtracker.maxtasks.perjob numeric
@attribute yarnyarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage numeric
@attribute mapredmapreduce.reduce.shuffle.input.buffer.percent numeric
@attribute mapredmapreduce.reduce.cpu.vcores numeric
@attribute mapredmapreduce.job.end-notification.max.retry.interval numeric
@attribute yarnyarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size numeric
@attribute yarnyarn.nodemanager.process-kill-wait.ms numeric
@attribute yarnyarn.nodemanager.delete.thread-count numeric
@attribute mapredmapreduce.tasktracker.indexcache.mb numeric
@attribute mapredmapreduce.jobhistory.joblist.cache.size numeric
@attribute yarnyarn.client.nodemanager-client-async.thread-pool-max-size numeric
@attribute mapredmapreduce.client.submit.file.replication numeric
@attribute yarnyarn.resourcemanager.zk-retry-interval-ms numeric
@attribute yarnyarn.timeline-service.leveldb-timeline-store.ttl-interval-ms numeric
@attribute yarnyarn.resourcemanager.zk-timeout-ms numeric
@attribute mapredmapreduce.job.end-notification.retry.interval numeric
@attribute mapredmapreduce.reduce.maxattempts numeric
@attribute yarnyarn.resourcemanager.am.max-attempts numeric
@attribute yarnyarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb numeric
@attribute mapredmapreduce.reduce.input.buffer.percent numeric
@attribute mapredmapreduce.client.progressmonitor.pollinterval numeric
@attribute mapredmapreduce.job.ubertask.maxmaps numeric
@attribute yarnyarn.resourcemanager.admin.client.thread-count numeric
@attribute mapredmapreduce.tasktracker.taskmemorymanager.monitoringinterval numeric
@attribute yarnyarn.app.mapreduce.am.resource.mb numeric
@attribute mapredmapreduce.job.ubertask.maxreduces numeric
@attribute mapredmapreduce.reduce.skip.maxgroups numeric
@attribute mapredyarn.app.mapreduce.am.job.committer.commit-window numeric
@attribute yarnyarn.client.nodemanager-connect.max-wait-ms numeric
@attribute mapredmapreduce.jobtracker.taskcache.levels numeric
@attribute mapredmapreduce.client.completion.pollinterval numeric
@attribute yarnyarn.client.max-cached-nodemanagers-proxies numeric
@attribute mapredmapreduce.tasktracker.tasks.sleeptimebeforesigkill numeric
@attribute mapredyarn.app.mapreduce.task.container.log.backups numeric
@attribute mapredmapreduce.shuffle.transfer.buffer.size numeric
@attribute yarnyarn.nodemanager.localizer.fetch.thread-count numeric
@attribute yarnyarn.scheduler.maximum-allocation-vcores numeric
@attribute mapredmapreduce.ifile.readahead.bytes numeric
@attribute mapredmapreduce.reduce.shuffle.fetch.retry.timeout-ms numeric
@attribute yarnyarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size numeric
@attribute mapredmapreduce.jobtracker.jobhistory.task.numberprogresssplits numeric
@attribute mapredmapreduce.jobhistory.move.thread-count numeric
@attribute mapredmapreduce.tasktracker.local.dir.minspacekill numeric
@attribute mapredmapreduce.jobhistory.move.interval-ms numeric
@attribute yarnyarn.nodemanager.localizer.cache.target-size-mb numeric
@attribute mapredmapreduce.reduce.markreset.buffer.percent numeric
@attribute mapredyarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts numeric
@attribute mapredmapreduce.job.maps numeric
@attribute mapredmapreduce.task.combine.progress.records numeric
@attribute mapredyarn.app.mapreduce.am.resource.cpu-vcores numeric
@attribute mapredmapreduce.jobtracker.tasktracker.maxblacklists numeric
@attribute yarnyarn.resourcemanager.max-completed-applications numeric
@attribute mapredmapreduce.reduce.shuffle.fetch.retry.interval-ms numeric
@attribute mapredmapreduce.job.speculative.speculativecap numeric
@attribute mapredyarn.app.mapreduce.client-am.ipc.max-retries numeric
@attribute mapredmapreduce.task.skip.start.attempts numeric
@attribute mapredmapreduce.tasktracker.reduce.tasks.maximum numeric
@attribute mapredmapreduce.jobtracker.handler.count numeric
@attribute mapredmapreduce.map.cpu.vcores numeric
@attribute mapredmapreduce.job.counters.limit numeric
@attribute performance numeric

@data
1000,60000,3145728,5,1,0.25,2,180000,1,30000,300000,0,1,100,10,3,20650,10,5,300,50,3,180000,0,5,50,900000,100,10000,5,600000,20,1024,100,600000,0,8,200000,10000,1000,0.05,10,5,20650,1,5,10000,0,1024,30,0,90,0.7,1,5000,10000,2000,4,10,20000,500,10,1000,300000,10000,1000,4,2,0,0,1000,9,1,5000,1536,1,0,10000,180000,2,5000,0,5000,0,131072,4,32,4194304,30000,10,12,3,0,180000,10240,0,3,2,10000,1,4,10000,1000,0.1,3,2,2,10,1,120,82
448,34431,96495990,25.850894,52.004991,0.49239,281.441366,193574,11.807135,30486,45347,37.878005,0.145071,199.218703,24.41055,16.99659,28682,65.669745,31.414061,168.646944,76.317279,26.730715,121961,151.453242,37.297436,72.919268,865211,69.295351,51591,83.480354,435960,51.673501,2117,208.200301,116012,23.061461,39.325172,122498,53485,8626,0.92364,39.685491,94.113599,22594,25.840405,107.133256,55720,78.498266,2506,42.124954,66.600031,80.254241,0.573144,4.796249,1191,45765,223079,27.628037,992,38068,1952,99.791481,204476,150708,153581,1257,15.455192,10.295063,846,0.738237,3448,199.148987,59.042293,38288,15005,194.312351,31.782005,57208,82484,11.785245,27365,132,23611,92.563418,689551,21.157654,46.65609,39370435,12679,36.858874,17.088902,93.001423,87.575024,240498,11147,0.00537,5.496589,50.957248,77706,18.883848,32.825468,12090,3921,0.428119,23.970801,11.409007,33.171505,57.822178,1.610575,223,-1
724,30399,40190363,13.592631,45.440544,0.982469,132.234812,141853,5.505667,40130,117321,49.744679,0.26109,138.364908,73.540152,19.752846,26946,66.322445,7.72663,374.456129,38.243014,6.200622,277605,234.641625,11.609661,94.787371,723557,9.789404,26692,5.453669,599964,15.615967,2604,237.616879,227251,92.221411,23.880859,143770,78560,5291,0.987388,83.977189,29.12904,24528,18.811122,338.53212,2895,69.604399,2628,38.986131,17.152575,6.231136,0.019097,1.601813,43590,98592,280229,26.144527,51,54614,1936,46.612501,298403,65359,91097,9480,3.840851,2.498683,220,0.922712,7029,121.879755,8.999777,18283,13027,174.907193,67.059448,20675,296803,41.598906,9771,343,15979,74.643959,697365,6.571925,88.800956,33584533,132597,99.000496,51.536946,91.442808,47.23194,142524,11058,0.49667,21.55899,50.783494,25738,25.797288,38.234628,14293,1514,0.407944,17.891902,10.513753,41.689277,86.885252,4.70143,420,-1
1496,74061,8373485,32.464112,53.29014,0.388199,139.76566,155953,3.805914,27391,363303,26.083736,0.351126,187.997695,55.590638,18.524741,27281,58.81549,39.991268,416.623688,47.19837,9.554698,173596,85.581534,42.215196,30.219727,532939,69.93064,81158,48.714982,301559,26.691707,3026,193.568449,594156,123.968378,24.206317,140617,17783,8159,0.637459,35.736596,84.49982,21841,89.272712,306.638621,13892,14.792615,1953,80.412016,60.101195,42.256916,0.713583,2.3668,19509,74473,132531,82.859024,933,36114,1614,91.972963,41041,63461,280478,769,10.594871,1.973156,597,0.852102,8288,113.775231,73.102746,13684,16013,152.541658,16.317295,21745,76090,18.340343,41602,327,2089,49.915978,547956,20.223112,74.901146,16203632,14906,86.223848,46.32883,98.614523,54.416824,125648,10699,0.166298,1.092048,7.00441,13942,21.911259,34.855597,7547,4601,0.195455,9.894851,15.596361,5.081337,13.191702,1.159779,31,-1
1949,72708,83080926,14.717342,11.733554,0.23452,335.53703,190983,30.705204,23129,46738,1.419537,0.587659,240.387315,91.917117,8.655885,26337,13.015008,23.457885,118.066131,48.612972,20.171151,269521,185.029552,3.369199,83.559442,212028,83.794414,69675,43.74594,356324,20.79542,3011,396.702225,602685,40.161375,25.493638,156259,25042,6024,0.046253,46.605147,23.063301,25863,84.046616,42.78593,24949,38.029861,2852,81.200514,29.512968,86.348137,0.30158,4.904943,8453,40798,130828,31.378772,271,164144,2858,56.011622,163975,136569,163237,9861,17.927401,12.508394,803,0.67617,8068,160.581586,9.553562,22445,8758,115.949027,38.123456,41443,109996,127.92973,5495,386,35062,28.92004,1215722,94.075609,52.474089,6405382,195146,37.042701,80.82935,79.471788,83.40373,245605,10481,0.959202,27.990525,33.68304,20689,25.536819,1.547891,6649,4401,0.135327,15.542327,7.774283,9.947315,82.726543,5.390179,365,-1
2957,126659,31016585,4.789367,50.662945,0.009841,343.318278,203797,47.559678,18036,144900,26.091551,0.353725,287.259574,59.053002,8.246807,28128,2.775919,20.788514,495.585853,93.011367,4.430279,114337,71.3842,13.572599,49.419557,262879,9.591003,56074,80.143739,684788,21.057363,1554,110.161655,748632,182.719405,21.48576,194755,85536,3069,0.489836,35.183649,12.583498,21797,62.154173,479.814808,46882,88.011635,2928,16.26482,6.012481,97.137369,0.149903,1.894198,25924,80988,11262,20.41554,910,169668,4502,64.937602,31530,69100,96929,6395,7.876959,16.356479,833,0.544651,2648,199.866489,35.715068,3717,12751,196.139018,95.150499,78415,243958,38.074454,24887,336,21568,35.905103,1117051,25.008262,83.536385,4211659,272672,17.906906,11.422423,17.164469,88.010198,282681,11084,0.519967,13.530083,7.405513,74927,27.48872,5.982744,3475,7927,0.412079,29.122752,6.72626,92.464071,2.515531,2.059367,945,90
3487,145396,108657198,26.363901,28.875957,0.281517,222.310441,295340,20.875489,25732,207656,39.231754,0.032537,168.670688,69.408149,19.963148,28602,56.435306,16.123095,346.717783,90.739688,2.481362,130268,252.388968,20.823077,45.055548,409301,99.475316,31697,77.322819,579802,9.856209,2146,212.542383,636946,145.328091,31.911386,134884,47117,9439,0.770525,22.951102,51.312501,25615,71.474803,196.489044,70415,99.023582,2676,3.057582,98.848192,53.79881,0.243995,5.34517,48358,83978,205392,44.559141,740,14515,2160,4.409301,186920,81685,161583,8423,35.279452,18.076445,633,0.06658,4957,148.564203,4.166031,8882,6236,168.354484,84.013861,38609,61465,110.993658,16203,699,36580,37.411299,859248,93.371624,86.801571,2976092,38838,80.277447,52.738875,77.218196,36.345546,74879,9167,0.341618,19.378077,40.814757,53312,28.407849,32.485214,11708,7598,0.662407,26.615662,5.413915,96.083843,66.791394,4.613184,510,81
3836,30893,44240219,22.680207,55.351099,0.856492,157.659902,298910,15.610783,27533,33625,28.435344,0.311666,170.575551,60.780221,4.846304,27316,86.676045,30.583992,200.957823,13.275277,23.192442,113803,201.873378,49.694065,17.098864,537408,36.816238,59773,65.609099,579151,12.600102,2597,60.281242,192258,90.457634,26.721721,102238,3719,9382,0.230257,97.920719,5.24415,26071,88.024825,207.212797,99062,62.807292,1738,93.898791,47.965781,44.819016,0.414369,3.732527,45582,80074,284077,7.723195,788,171970,3948,74.619307,34552,386852,202415,7167,21.725376,8.425853,116,0.437249,6608,176.431791,37.642304,15238,5736,132.23026,72.696702,48127,139411,75.730716,28722,635,42947,98.723533,1068030,68.592063,74.473204,33160854,183871,81.407136,54.517209,2.036261,30.979418,115462,11138,0.534241,12.713855,14.588249,91503,20.981715,27.852044,14936,6628,0.581862,13.762983,10.175808,51.739352,9.643967,1.140376,475,88
4534,100312,116942376,37.572558,12.29385,0.38645,231.771723,160564,36.938081,37520,44676,11.649399,0.075704,271.146692,80.8998,12.604959,26704,37.212969,12.400982,483.665591,74.238607,9.225912,185697,15.948088,40.975045,110.29165,150013,18.93806,92201,49.827522,232407,47.229132,2490,314.108887,437877,83.111536,36.822438,156941,63768,572,0.58414,20.350433,14.793187,21735,29.980616,191.51628,42204,13.075167,1258,34.392842,9.686892,29.640806,0.085716,3.958384,2630,52651,121224,87.508593,189,143050,2109,11.575183,83900,184456,9935,1406,14.673569,5.371395,831,0.430811,7686,104.361919,51.510596,22344,12079,123.755919,29.97156,12699,117282,154.445147,25676,761,12342,76.585264,395565,78.2953,75.073003,1179192,45200,94.02966,74.395831,91.069308,58.671336,90118,10247,0.297653,6.804737,30.100141,78856,21.537194,11.175539,5368,3895,0.685662,14.851742,10.388606,89.371026,92.177279,5.266151,105,74
5233,206018,132944898,22.191166,61.655188,0.030673,194.182095,234706,37.724023,27427,180787,49.008068,0.648202,267.575048,77.148283,13.319198,28650,65.486504,10.188674,328.787018,69.229375,21.220758,99117,138.570885,1.991577,170.99726,800079,74.327831,77226,56.164317,361413,47.804772,1077,330.092657,390996,166.051826,32.604374,188171,35276,1914,0.576583,56.58148,24.494669,23781,57.671845,22.141077,30160,85.368655,2940,35.270435,78.975532,13.773268,0.394916,2.304839,5306,17726,125827,36.215278,404,26028,2716,13.554888,137954,368057,99046,5957,6.750639,9.545185,379,0.316081,1044,165.7146,74.602334,19685,6212,146.347096,97.402814,49961,164851,166.489624,10333,28,17712,74.952111,1195936,78.597825,86.953254,10475902,190459,44.585151,31.52329,29.662303,25.21357,295439,10152,0.975093,26.476909,36.722373,80618,24.531529,34.70786,11590,195,0.314836,3.44756,12.969372,14.576756,10.818571,2.015084,16,87
