@relation InitialSetByLHS

@attribute yarnyarn.timeline-service.client.retry-interval-ms numeric
@attribute mapredmapreduce.reduce.shuffle.retry-delay.max.ms numeric
@attribute mapredmapreduce.jobtracker.jobhistory.block.size numeric
@attribute mapredmapreduce.reduce.shuffle.parallelcopies numeric
@attribute mapredmapreduce.job.jvm.numtasks numeric
@attribute yarnyarn.nodemanager.disk-health-checker.min-healthy-disks numeric
@attribute mapredmapreduce.tasktracker.map.tasks.maximum numeric
@attribute mapredmapreduce.reduce.shuffle.read.timeout numeric
@attribute mapredmapreduce.job.reduces numeric
@attribute yarnyarn.resourcemanager.connect.retry-interval.ms numeric
@attribute yarnyarn.dispatcher.drain-events.timeout numeric
@attribute yarnyarn.client.failover-retries-on-socket-timeouts numeric
@attribute mapredmapreduce.job.speculative.slowtaskthreshold numeric
@attribute mapredmapreduce.jobtracker.heartbeats.in.second numeric
@attribute mapredmapreduce.job.max.split.locations numeric
@attribute mapredyarn.app.mapreduce.client.max-retries numeric
@attribute yarnyarn.scheduler.maximum-allocation-mb numeric
@attribute yarnyarn.timeline-service.handler-thread-count numeric
@attribute mapredmapreduce.job.end-notification.max.attempts numeric
@attribute mapredmapreduce.job.reducer.unconditional-preempt.delay.sec numeric
@attribute yarnyarn.resourcemanager.client.thread-count numeric
@attribute mapredmapreduce.job.maxtaskfailures.per.tracker numeric
@attribute mapredmapreduce.reduce.shuffle.connect.timeout numeric
@attribute mapredmapreduce.shuffle.max.threads numeric
@attribute mapredmapreduce.shuffle.connection-keep-alive.timeout numeric
@attribute yarnyarn.resourcemanager.resource-tracker.client.thread-count numeric
@attribute yarnyarn.resourcemanager.connect.max-wait.ms numeric
@attribute yarnyarn.nodemanager.resource.percentage-physical-cpu-limit numeric
@attribute yarnyarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms numeric
@attribute mapredmapreduce.jobhistory.loadedjobs.cache.size numeric
@attribute mapredmapreduce.task.timeout numeric
@attribute yarnyarn.nodemanager.container-manager.thread-count numeric
@attribute mapredmapreduce.map.memory.mb numeric
@attribute mapredmapreduce.task.io.sort.mb numeric
@attribute mapredmapreduce.jobtracker.expire.trackers.interval numeric
@attribute mapredmapreduce.map.skip.maxrecords numeric
@attribute yarnyarn.nodemanager.resource.cpu-vcores numeric
@attribute mapredmapreduce.jobhistory.datestring.cache.size numeric
@attribute yarnyarn.client.nodemanager-connect.retry-interval-ms numeric
@attribute mapredmapreduce.jobtracker.retiredjobs.cache.size numeric
@attribute mapredmapreduce.job.reduce.slowstart.completedmaps numeric
@attribute mapredmapreduce.task.io.sort.factor numeric
@attribute yarnyarn.nodemanager.localizer.client.thread-count numeric
@attribute yarnyarn.nodemanager.resource.memory-mb numeric
@attribute mapredmapreduce.input.lineinputformat.linespermap numeric
@attribute mapredmapreduce.jobtracker.jobhistory.lru.cache.size numeric
@attribute mapredmapreduce.task.merge.progress.records numeric
@attribute mapredmapreduce.shuffle.max.connections numeric
@attribute mapredmapreduce.reduce.memory.mb numeric
@attribute yarnyarn.timeline-service.client.max-retries numeric
@attribute mapredmapreduce.jobtracker.maxtasks.perjob numeric
@attribute yarnyarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage numeric
@attribute mapredmapreduce.reduce.shuffle.input.buffer.percent numeric
@attribute mapredmapreduce.reduce.cpu.vcores numeric
@attribute mapredmapreduce.job.end-notification.max.retry.interval numeric
@attribute yarnyarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size numeric
@attribute yarnyarn.nodemanager.process-kill-wait.ms numeric
@attribute yarnyarn.nodemanager.delete.thread-count numeric
@attribute mapredmapreduce.tasktracker.indexcache.mb numeric
@attribute mapredmapreduce.jobhistory.joblist.cache.size numeric
@attribute yarnyarn.client.nodemanager-client-async.thread-pool-max-size numeric
@attribute mapredmapreduce.client.submit.file.replication numeric
@attribute yarnyarn.resourcemanager.zk-retry-interval-ms numeric
@attribute yarnyarn.timeline-service.leveldb-timeline-store.ttl-interval-ms numeric
@attribute yarnyarn.resourcemanager.zk-timeout-ms numeric
@attribute mapredmapreduce.job.end-notification.retry.interval numeric
@attribute mapredmapreduce.reduce.maxattempts numeric
@attribute yarnyarn.resourcemanager.am.max-attempts numeric
@attribute yarnyarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb numeric
@attribute mapredmapreduce.reduce.input.buffer.percent numeric
@attribute mapredmapreduce.client.progressmonitor.pollinterval numeric
@attribute mapredmapreduce.job.ubertask.maxmaps numeric
@attribute yarnyarn.resourcemanager.admin.client.thread-count numeric
@attribute mapredmapreduce.tasktracker.taskmemorymanager.monitoringinterval numeric
@attribute mapredmapreduce.job.ubertask.maxreduces numeric
@attribute mapredmapreduce.reduce.skip.maxgroups numeric
@attribute mapredyarn.app.mapreduce.am.job.committer.commit-window numeric
@attribute yarnyarn.client.nodemanager-connect.max-wait-ms numeric
@attribute mapredmapreduce.jobtracker.taskcache.levels numeric
@attribute mapredmapreduce.client.completion.pollinterval numeric
@attribute yarnyarn.client.max-cached-nodemanagers-proxies numeric
@attribute mapredmapreduce.tasktracker.tasks.sleeptimebeforesigkill numeric
@attribute mapredyarn.app.mapreduce.task.container.log.backups numeric
@attribute mapredmapreduce.shuffle.transfer.buffer.size numeric
@attribute yarnyarn.nodemanager.localizer.fetch.thread-count numeric
@attribute yarnyarn.scheduler.maximum-allocation-vcores numeric
@attribute mapredmapreduce.ifile.readahead.bytes numeric
@attribute mapredmapreduce.reduce.shuffle.fetch.retry.timeout-ms numeric
@attribute yarnyarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size numeric
@attribute mapredmapreduce.jobtracker.jobhistory.task.numberprogresssplits numeric
@attribute mapredmapreduce.jobhistory.move.thread-count numeric
@attribute mapredmapreduce.tasktracker.local.dir.minspacekill numeric
@attribute mapredmapreduce.jobhistory.move.interval-ms numeric
@attribute yarnyarn.nodemanager.localizer.cache.target-size-mb numeric
@attribute mapredmapreduce.reduce.markreset.buffer.percent numeric
@attribute mapredyarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts numeric
@attribute mapredmapreduce.job.maps numeric
@attribute mapredmapreduce.task.combine.progress.records numeric
@attribute mapredyarn.app.mapreduce.am.resource.cpu-vcores numeric
@attribute mapredmapreduce.jobtracker.tasktracker.maxblacklists numeric
@attribute yarnyarn.resourcemanager.max-completed-applications numeric
@attribute mapredmapreduce.reduce.shuffle.fetch.retry.interval-ms numeric
@attribute mapredmapreduce.job.speculative.speculativecap numeric
@attribute mapredyarn.app.mapreduce.client-am.ipc.max-retries numeric
@attribute mapredmapreduce.task.skip.start.attempts numeric
@attribute mapredmapreduce.tasktracker.reduce.tasks.maximum numeric
@attribute mapredmapreduce.jobtracker.handler.count numeric
@attribute mapredmapreduce.map.cpu.vcores numeric
@attribute mapredmapreduce.job.counters.limit numeric
@attribute performance numeric

@data
1000,60000,3145728,5,1,0.25,2,180000,1,30000,300000,0,1,100,10,3,20650,10,5,300,50,3,180000,0,5,50,900000,100,10000,5,600000,20,1024,100,600000,0,8,200000,10000,1000,0.05,10,5,20650,1,5,10000,0,1024,30,0,90,0.7,1,5000,10000,2000,4,10,20000,500,10,1000,300000,10000,1000,4,2,0,0,1000,9,1,5000,1,0,10000,180000,2,5000,0,5000,0,131072,4,32,4194304,30000,10,12,3,0,180000,10240,0,3,2,10000,1,4,10000,1000,0.1,3,2,2,10,1,120,67
629,276997,132158695,37.286299,57.961725,0.855152,170,142128,40.349191,27351,175417,47.277995,0.10506,239,80.260118,4.506277,28240,81.75282,14.467271,192,70.505545,2.712007,285704,7,45.834747,17,437571,25.149834,63215,71.104965,465978,81.975749,1583,222,118765,171,15.947087,128140,42477,9615,0.9916,15.705817,57.984786,20998,90.63816,178,18115,8.005893,2318,86.862594,31.542698,39.961143,0.496734,1.224621,19379,71923,271070,58.277971,480,72732,1012,31.180317,83491,270677,247726,5277,25.495769,7.319345,923,0.352605,6056,119.272731,9.715992,30752,157.344415,69.445226,10298,187911,172,42972,901,7260,15.946366,1197950,92.710645,97.194659,7637777,267828,19.166993,92.69022,79.69707,90.266425,298142,9031,0.71954,7.002714,28.213265,8408,13.101625,21.62119,11522,3651,0.873222,29.925655,11.244688,33.675887,41.563721,5.710042,47,-1
3904,243021,37926631,38.150323,11.246964,0.380752,309,171777,27.653815,32707,111311,1.957307,0.532086,114,28.686435,10.125844,26506,68.078206,33.547625,89,17.906874,16.545568,127566,88,18.019494,28,898126,77.030841,39695,93.588212,537329,4.012937,3909,163,415646,127,10.801293,102695,79175,5963,0.689003,52.495206,79.600239,21536,62.363232,215,80785,31.856515,1102,13.447102,49.012427,6.406881,0.206179,2.766191,29921,5556,213244,82.08261,406,132007,3674,1.163836,141,231221,41111,1594,27.044407,15.945507,376,0.587832,311,164.029609,89.047039,10196,144.747822,11.988268,17528,180086,189,40669,65,17455,84.279206,132753,3.835011,56.666942,22665003,21768,85.685592,44.433475,42.453341,98.815445,188216,10190,0.125026,25.408179,53.707026,29486,29.361138,25.770771,19133,3380,0.282956,10.845702,16.11648,26.960459,29.421493,9.738289,685,-1
8907,54088,125680659,44.303858,84.619739,0.44125,154,137760,14.651783,25715,102631,31.101307,0.152376,169,24.960297,2.954196,25160,78.467601,1.927368,245,34.548384,25.686413,76150,118,46.983496,69,429376,18.669976,64268,75.500352,762080,64.530631,1061,235,635068,88,16.588073,118540,76899,2445,0.669816,49.618788,91.227937,22666,87.525193,301,78374,52.9964,1411,73.840897,12.119072,4.9469,0.309601,11.370991,18359,60199,14577,58.998001,302,62526,2666,57.193709,261353,89346,297042,7705,35.573974,7.222832,183,0.195979,1559,184.373064,30.162357,21976,180.367946,47.340213,85420,264891,112,25097,632,10764,20.291955,702067,41.531785,81.640337,3378241,198596,12.551793,95.339253,68.981272,71.546577,196968,9899,0.414082,17.137273,19.376446,98173,29.211004,17.504358,1736,5639,0.233313,14.578457,18.42912,29.114251,92.142861,1.128093,853,-1
11841,128524,57312131,13.513702,50.765318,0.148777,294,72768,11.744074,23301,336056,21.903399,0.984123,49,74.834883,13.333916,27750,56.699191,36.427576,375,73.011902,8.477815,176854,99,44.692449,117,252706,63.859353,44771,28.614286,619288,35.84874,1657,223,788098,73,34.231183,116811,95053,3089,0.92729,92.984692,30.298785,23360,76.328814,148,10249,88.681796,1573,22.618228,21.720317,5.485723,0.390083,4.706686,32658,36162,229277,25.273447,700,90700,2957,78.38673,214586,93087,136307,3667,11.264698,17.006159,23,0.073183,8884,162.352816,91.715444,43756,188.872195,94.985659,60222,159229,1,37525,872,21560,2.199182,854936,37.441762,61.709056,32140498,153998,95.525894,78.095472,87.156403,24.403129,74763,9836,0.398068,4.295374,30.011151,97628,28.919844,1.091709,12919,7154,0.534963,6.868828,18.675267,45.367954,21.879035,1.216261,609,-1
14533,230149,23178616,17.748476,27.439441,0.873015,201,44503,30.55677,40104,8230,49.977355,0.009671,196,31.021006,7.99284,27068,50.801678,29.841502,224,94.298266,21.393254,110180,56,43.015971,23,731608,45.697327,8460,26.567655,693554,11.356824,2012,188,222950,168,4.510763,101125,14571,7195,0.347849,80.240489,29.087551,21126,51.475587,264,62750,38.036115,2986,78.537507,35.814276,22.397557,0.127333,2.465802,26104,65028,83775,74.433557,74,199953,4416,48.734933,102074,294300,74792,3078,3.767227,7.004729,742,0.571589,2593,174.644958,15.179723,42253,135.564823,17.546506,9175,132020,43,7429,13,41065,89.18071,470238,35.599432,60.103589,24444226,193206,17.577073,28.950313,73.419312,42.17487,171898,10067,0.88453,24.419473,5.81179,9851,7.66393,35.398075,5064,6526,0.745311,3.861329,2.808514,54.533357,68.382786,9.892868,989,46
15585,237274,20770563,23.567437,97.190081,0.35979,317,281486,45.768004,15733,206485,4.150697,0.853899,142,14.512742,15.112706,25344,37.193317,34.079686,490,24.686133,4.49915,150504,216,12.601034,8,824876,80.746896,99642,61.117554,380790,75.467392,1902,103,535325,182,26.878812,193531,37298,3756,0.00806,60.22929,38.039161,23102,95.089625,223,21622,81.094079,3723,83.954525,73.323801,51.626468,0.221327,14.846513,3677,30984,223536,34.917341,563,20650,2261,80.821708,88521,250746,267568,6871,11.609344,17.641266,381,0.270455,1835,108.490656,29.204402,13273,140.202045,42.098477,36533,150162,18,48914,346,34894,73.813931,652888,18.928943,66.189962,12207242,93980,30.163086,48.861594,64.781801,11.423231,149323,9339,0.090813,17.917639,48.508091,17237,22.629171,5.039753,15547,2783,0.75594,9.606199,16.535002,65.703182,67.538832,2.81288,822,39
20382,205663,50298412,6.486728,12.130301,0.677835,340,224449,5.235354,23433,398691,24.565656,0.722041,183,68.372903,13.152809,24879,52.011615,4.481368,486,62.606269,16.679062,72793,132,38.429651,46,189567,99.633502,50066,45.539687,453366,27.229614,2202,61,300816,117,35.966588,181130,27525,3226,0.871522,30.645528,10.6835,22808,49.493946,258,76911,43.440831,3134,65.110636,75.402178,47.295187,0.560707,15.60138,36302,1092,296350,15.493743,827,28688,1761,42.326372,225916,110757,9468,6831,14.584072,15.508614,212,0.00612,9639,171.441265,8.812212,48893,141.871706,78.013229,82148,69366,48,18071,316,47445,41.402658,18386,70.839328,47.872378,2412040,270347,45.262844,10.176449,3.329632,57.307744,121758,10321,0.834572,27.019943,27.880615,78531,23.223607,24.336128,7637,4941,0.001741,15.851073,10.788771,95.327721,10.795398,2.920806,212,-1
22745,257488,107448765,4.966058,88.321126,0.276825,139,247033,24.871775,19838,328168,41.529968,0.211994,10,98.118576,1.481271,25715,71.625967,29.94917,300,96.962786,24.267585,181247,53,32.654777,99,303215,65.361443,14077,24.366183,651685,59.76598,3392,367,317672,25,17.524104,100277,72907,6222,0.301355,27.905847,39.122129,24061,57.439354,455,89607,49.581339,3453,66.34274,53.945029,88.035729,0.3175,17.530806,11197,39421,218119,50.848631,424,40197,2601,52.693552,38263,103764,274199,5660,8.663426,8.772781,1000,0.978082,2739,167.694656,25.022675,28815,124.234449,13.947003,72869,283953,163,34855,484,14440,78.194692,603133,69.315387,51.737975,1073288,202509,36.011228,71.426748,20.5145,35.631447,270232,10409,0.894751,4.855207,14.272177,50560,10.588667,8.60108,13764,835,0.576495,27.200477,8.372466,53.855065,67.007249,2.618877,405,64
25268,28627,96423032,26.249706,34.147945,0.406897,290,225558,36.991068,30000,337127,13.714679,0.9278,73,62.08148,6.170023,26748,94.305648,21.642417,418,69.847366,19.316522,200168,97,25.350895,169,467947,52.55011,93522,82.434209,320044,77.463165,2997,303,486414,176,4.033361,198353,52647,1316,0.293736,44.979589,34.873899,21247,15.27959,203,30081,17.007467,3301,71.066798,44.26479,95.161564,0.438881,16.618655,41337,47813,283015,73.807804,675,148597,3592,68.196492,194842,320086,235944,2461,23.783209,14.076028,714,0.659654,739,177.608498,97.555292,45148,110.432775,85.041928,72144,125527,197,10462,759,16261,47.804451,438124,11.857232,85.141352,27899936,171851,3.173572,40.88156,31.805567,97.131672,174506,9955,0.264933,27.902462,4.585336,11952,25.220257,12.514852,7349,2334,0.27847,25.760012,3.932316,6.702787,32.469586,7.96178,813,68
