@relation InitialSetByLHS

@attribute sqlmyd_Ksort_buffer_size numeric
@attribute sqlmyd_Kinnodb_buffer_pool_size numeric
@attribute sqlmydmax_connections numeric
@attribute sqlmyd_Kquery_cache_size numeric
@attribute sqlmyd_Kread_buffer_size numeric
@attribute sqlmyd_Kmyisam_sort_buffer_size numeric
@attribute sqlmydtable_open_cache numeric
@attribute sqlmyd_Kmax_allowed_packet numeric
@attribute sqlmyd_Typequery_cache_type numeric
@attribute sqlmyd_Kkey_buffer_size numeric
@attribute sqlmydthread_cache_size numeric
@attribute performance numeric

@data
256,131072,151,1024,128,8192,2000,4096,1,8192,9,311.15
5175,922381,27820,858245,428327,37083,486331,647233,0.306951,61450,11987,388.32
17227,654802,81198,965932,195588,883298,146196,725945,1.086607,261075,14725,363.7
24713,92464,51684,935741,591927,354742,309768,44521,0.959184,711908,9563,282.21
32845,417586,2380,423456,689804,358530,176648,579415,0.495516,186916,11870,244.54
48598,167057,11509,10269,1032390,980479,78870,324072,1.14679,206762,11711,229.17
62627,408460,33441,388327,397286,388009,353041,90284,1.026836,863946,9669,260.38
65849,278984,85138,297579,856030,648765,327957,567434,0.771169,812502,12431,224.23
73527,331024,21285,784066,437831,180192,207264,427974,0.749493,1008277,1343,212.44
89680,146528,94624,533306,751448,631408,384104,1016510,0.613914,780155,9221,234.18
99009,875394,90695,712930,677471,511300,493289,262643,0.110245,242138,4885,331.54
115331,108610,37911,815860,839814,962520,359510,240896,1.913492,606500,605,221.28
122210,199090,66295,908549,876278,334064,136795,629462,1.659578,874712,6315,246.35
130651,25605,80396,62925,722153,142490,220330,886306,1.487175,1020380,4557,104.85
144211,6218,47460,492972,488682,693656,35543,329097,1.936093,962200,13069,61.25
155777,359087,7683,95531,1027390,288021,244231,448919,1.05489,430411,2511,233.04
167585,925800,12172,236171,886195,661591,371669,833555,0.546761,586963,16091,351.62
171022,302318,25896,788486,225338,600063,73334,529302,1.571222,732006,11085,266.71
188144,977504,35990,560911,788579,765844,26670,390573,0.278529,140803,8375,371.82
196325,445213,65017,77793,123839,1003927,430409,866768,1.606077,199223,14087,244.45
207339,477574,8202,129269,699478,566996,201043,681490,1.295009,117449,5289,241.05
217991,754052,19183,371015,952890,535984,51749,749518,0.791235,442241,9050,310.88
223676,867839,91882,420021,6566,868316,506999,520088,1.942392,419711,16235,342.92
235121,60992,3391,537442,93540,313045,347688,95245,0.971632,994310,3814,214.32
250731,582288,32390,681361,939443,133860,458275,693118,0.990429,500434,14114,308.83
261956,667525,62334,633687,963349,949072,285208,893388,0.438839,418929,12853,325.4
272211,506729,9090,771371,865326,436717,380136,534853,1.538699,395986,1764,293.58
278179,844888,58269,494412,658645,316195,264609,477332,1.686685,618588,2628,348.12
285246,79935,28356,450182,786295,83330,230878,411880,0.453928,109423,8677,231.53
300721,945640,95959,957611,280003,113902,100878,820132,0.221763,276734,6010,351.19
307422,256584,6860,434505,246171,1015644,236943,339354,1.621607,628226,239,286.64
320919,533792,16807,926614,707019,25116,43634,439574,1.015921,756450,1178,321.04
333730,326376,83247,868296,989233,485482,422214,686296,1.45244,321470,7982,298.82
337965,1025032,22337,35461,998131,43160,332494,877604,1.224572,679594,6686,369.26
356262,634455,53898,592308,598362,776116,315029,921905,1.991361,899309,15217,293.88
366878,289443,60067,398151,612431,831433,300575,948103,1.309395,296404,10904,279.78
372506,1041417,26739,151104,908000,480594,276266,105355,0.701294,562114,14306,371.86
380029,1005855,75760,264548,504973,874545,246729,129047,0.911971,713415,8835,364.39
390990,600206,55016,914387,817442,803585,474322,782425,1.584909,386723,7107,322.91
400799,365612,59552,567403,831925,275166,57611,498579,1.746002,97342,14813,301.14
418668,39205,40660,627753,450428,969630,306061,471745,1.122076,699175,7819,161.35
422223,125340,50139,460025,347165,10944,396870,511712,0.579726,405190,4261,278.8
436099,310560,76772,178920,1046498,163598,124271,794132,0.887333,342345,8228,278.04
442777,466771,30077,944751,291488,817463,118974,767854,1.211177,271892,7281,293.05
460342,957723,99005,21678,661457,652769,85874,1005868,1.476537,17505,10111,363.16
471766,794547,18296,67790,83788,72302,19051,992525,0.581122,487576,7658,347.61
475008,181031,68034,804612,805914,854698,65227,460543,0.083141,666496,14529,272.06
484483,743668,63842,226762,344857,465585,128973,281624,0.150477,889779,12700,324.63
