@relation InitialSetByLHS

@attribute sqlmyd_Ksort_buffer_size numeric
@attribute sqlmyd_Kinnodb_buffer_pool_size numeric
@attribute sqlmydmax_connections numeric
@attribute sqlmyd_Kquery_cache_size numeric
@attribute sqlmyd_Kread_buffer_size numeric
@attribute sqlmyd_Kmyisam_sort_buffer_size numeric
@attribute sqlmydtable_open_cache numeric
@attribute sqlmyd_Kmax_allowed_packet numeric
@attribute sqlmyd_Typequery_cache_type numeric
@attribute sqlmyd_Kkey_buffer_size numeric
@attribute sqlmydthread_cache_size numeric
@attribute performance numeric

@data
256,131072,151,1024,128,8192,2000,4096,1,8192,9,11564.34
8869,953206,43008,856679,380760,313717,134059,426785,0.850907,962318,6012,52158.43
13283,482147,48365,85464,326786,16253,217634,489566,1.055158,795590,10316,12313.65
30968,611125,85681,839053,474168,53775,468428,970627,0.092375,244138,5239,50844.31
35824,18626,75087,847564,128630,710016,196800,775855,0.681413,802365,3249,41702.8
52171,179428,20634,104541,1010736,302870,353109,298727,1.003401,482640,11210,12559.76
59829,623175,49727,915079,611389,212563,42167,698756,0.049661,992514,12338,50708.47
68878,814343,65650,862766,463224,184078,78207,119244,0.439731,164864,15125,52014.59
82111,224843,60378,723487,287331,556388,485526,215490,1.430321,185221,7394,15752.79
94161,965718,23060,264554,990950,884128,419367,677847,1.531166,325740,13609,15633.91
97708,75568,67299,239821,199041,47973,504893,726046,0.704283,552520,940,44616.23
113625,392941,86761,590375,142382,329250,394394,584115,1.069033,575519,4355,2748.97
117302,31771,9000,160401,353108,233610,200073,629252,0.24974,16058,15891,41628.08
132015,763952,64820,768968,715229,946979,56882,995889,1.382244,843567,15420,15651.93
143685,790254,47316,366483,95635,379420,3856,459640,1.182406,915618,11313,16954.66
153039,685355,77181,230099,413379,1004014,137469,959300,1.804675,312633,16090,14809.35
164833,998583,92069,670092,960529,1021078,258992,978277,0.91939,698075,15598,52065.6
170337,631900,11347,811351,171560,971160,296582,791738,0.120631,612362,6826,50861.59
184028,240080,10188,761743,318946,731810,457170,925069,1.402578,582285,6134,15649.33
190674,337594,74473,45954,212058,1029185,479687,948563,0.009883,679064,14675,49706.97
208457,569416,68641,32799,948892,784188,269415,527357,0.561344,501621,13932,50921.44
216388,253327,59588,28909,371901,412448,83092,137707,1.217225,633213,3771,5301.66
226809,705469,73807,301567,922502,928857,87593,158871,0.893145,240188,3351,51591.51
237134,342560,62485,945364,261303,117213,334832,781325,0.959777,206529,404,49685.45
243801,736140,33948,180538,301787,404104,125165,720214,0.161412,74341,9202,51485.03
258494,428627,89322,71808,423812,1014975,12640,261735,0.538218,268181,11759,50213.65
269958,901577,79761,533949,524445,150758,401681,12871,1.676502,41178,3016,17336.61
277877,1011107,4083,372415,679487,843982,234337,313034,1.483818,827589,78,15781.08
293255,990985,34814,78739,241980,362743,180153,352453,0.461445,344080,1714,52352.88
299678,588677,15450,1044930,265003,668025,155284,601961,0.733145,591664,5261,50805.94
312626,719714,78401,341466,363855,955047,147383,933793,0.100099,834717,8577,51697.21
316388,218655,99421,444680,603816,610870,36846,650632,1.316748,146860,8064,16906.56
334477,558314,26615,828455,648821,871676,114273,240806,1.642144,105350,7991,3443.9
337274,309367,70365,782032,220690,352424,247260,67641,1.500286,405086,14766,15619.12
354738,513983,93323,401098,860788,577124,463295,622897,1.694204,531785,12633,16929.22
361075,908703,40397,477565,239487,457615,367320,371983,0.598518,117493,10419,52120.79
370597,941810,63426,646396,389416,144640,412969,997809,1.957232,599042,12596,17234.91
384346,675945,66759,126095,120795,622504,65229,826279,1.119485,1016282,10686,12835.75
389098,271190,46002,141245,789,508806,522134,89529,0.20111,997651,11880,49736.25
406124,487651,94617,382229,76822,531606,366005,190315,1.97205,91986,282,16978.43
409896,1038431,21347,322736,512238,570231,376356,1007783,1.552983,62959,8909,16741.81
423186,422243,22677,955718,430139,593697,476296,96927,1.611674,936036,13302,16360.52
440398,297782,80105,1035729,652673,494058,282282,1032086,0.147061,30444,7750,49733.49
442952,468574,95848,276604,89685,818609,145950,134255,0.382815,477051,8730,50278.4
454962,441694,457,129654,159024,442689,424067,249908,1.77214,812896,15970,12885.2
466869,698450,55594,178511,743625,554972,21116,73516,1.170528,521071,4835,12290.2
473324,370704,96389,439119,784591,284551,427845,174994,1.896639,653056,9529,17415.84
486828,664460,16303,690612,61980,920101,330104,5473,0.186267,506118,6407,51593.83
499465,732731,7395,538448,28402,479174,187231,499565,1.278129,874774,3603,17323.24
507249,168345,8483,305923,557367,899098,92051,331995,1.254643,628678,634,16315.9
515770,1036498,76035,973212,492527,686235,130309,276359,1.919665,779206,1119,16630.97
533891,182812,81430,584679,568138,244379,19036,392322,1.298128,102342,9721,2728.29
539841,854555,14220,727663,1031710,271942,204873,664137,1.344252,746375,5806,16307.99
546522,538356,83397,451679,698933,171956,267045,207351,0.968501,883619,14124,50875.28
557212,606026,71872,498643,451797,986115,344533,737429,1.852893,140309,13012,17474.45
570647,290406,87978,938078,20540,315979,441971,749092,1.138273,951491,15366,16507.66
582689,1017535,45902,468494,820553,758513,430238,754978,0.673195,721489,5595,52140.85
592528,891057,61043,331989,888112,29074,361048,184325,1.797226,414606,7694,16834.28
601718,981714,53077,489623,831051,836424,381420,45745,1.872862,1018841,2909,17622.96
611950,877739,56039,1000664,688063,980738,61113,113172,0.621684,441782,1626,52003.41
618805,661154,18673,566901,1003709,672307,350353,902981,1.324693,356032,6245,17587.89
630262,802576,37046,209218,592684,468291,388052,362926,0.313741,666755,4610,51964.31
649307,448478,51682,258924,811352,766596,337848,344898,1.932186,318749,12908,15307.61
653500,211441,25643,889416,544800,92384,167031,609973,0.839453,970294,2601,49146.9
667567,920217,91339,628673,106118,694785,495295,803663,0.873603,358041,8222,52215.87
681310,533622,41233,753129,151518,1043141,514359,844605,0.407443,1031377,13897,51049.07
686957,122514,17583,416344,201478,857844,34219,551683,0.509469,535866,1350,45465.58
694935,517027,39059,711371,496383,640468,47898,268895,1.469282,458318,12230,3083.42
704351,265160,52733,636707,66048,371468,501465,560830,1.596881,230520,13185,16940.92
720073,770605,54200,287036,760905,109696,68901,382521,1.750842,643426,1886,14096.6
733011,91311,84680,6793,873116,433099,449108,922132,0.802653,774171,4081,43555.86
739056,462846,44504,927012,549668,795465,26934,545006,0.798188,925678,2658,50257.13
753939,756280,57520,741877,900183,4099,293231,506963,0.356144,3936,6694,51678.76
762483,367577,27709,242017,847147,391195,109758,400141,1.224891,977186,2304,12850
774476,405119,42294,1015341,43790,254844,314786,868128,0.65726,55571,4483,50280.11
782236,957986,12260,192212,40835,863964,253068,900532,0.070321,397546,7118,52208.06
787320,869505,1848,110658,908320,653209,490311,414471,0.222477,895814,9969,52099
803208,137213,29102,803735,446663,744868,224039,283726,1.364802,131050,10642,16938.35
810059,549374,35151,1020093,967425,157760,454571,816841,1.724413,288154,13470,16338.9
819359,147069,32395,875088,855654,274451,241050,838155,0.029856,463330,699,48891.61
835605,831664,58584,520402,179178,742661,384766,25118,0.442052,740977,1198,52028.87
841862,197349,6921,908208,336221,38851,245133,571402,1.086181,708390,9369,3748.45
852226,923955,31936,563020,626888,907596,275639,870846,0.988838,425944,8478,52133.02
867063,49606,98332,421207,770553,200543,175572,154207,0.292825,686910,14337,43565.53
871006,44846,90284,894279,402626,343303,307499,708368,1.70492,1041951,5444,3697.29
889361,323141,13180,508295,578163,131946,512897,1023759,0.266123,904218,10145,49683.18
896674,112192,30732,388872,708776,222325,285854,691589,1.034308,850286,14938,15814.93
909211,353153,5323,989616,276445,636719,172612,589113,1.992573,48615,10918,16373.44
919371,87262,97537,598281,924618,81076,213531,887066,0.374943,301068,11605,43559.91
924470,61949,3483,700059,1017461,541522,230425,448272,1.825703,756911,7300,3066
939925,109452,2564,18433,754904,66944,96018,853362,1.623006,860565,2248,11924.39
949753,497128,72642,615027,937145,98392,303767,224843,0.921207,216426,4185,50338.01
954611,596858,24885,151603,634264,195046,103373,642215,0.546376,168539,14519,50872.64
973652,159130,69119,214792,981621,798778,323699,323315,1.148864,733274,9141,1602.42
978753,11830,82778,680143,796296,720645,118884,54790,0.756304,253498,16260,41830.72
992881,849063,88870,58593,515108,519963,310029,433520,1.573913,278524,10999,12032.45
999875,389543,36212,657696,730732,492371,7041,517559,0.332001,371394,7035,49648.16
1007247,277003,28663,353716,800435,816671,435238,36234,0.498217,562770,11980,49806.88
1020396,641699,50075,795481,304540,938401,191541,479044,1.457237,387059,3665,17094.42
1037842,828027,19003,547629,1039475,423176,159370,1038653,0.774508,435057,5054,52051.01
1042489,779229,38254,979528,668195,601232,408468,469247,0.618982,191346,1985,51475.14
