@relation InitialSetByLHS

@attribute Time.spark.rpc.retry.wait numeric
@attribute Size.spark.driver.memory numeric
@attribute Size.spark.reducer.maxSizeInFlight numeric
@attribute spark.shuffle.memoryFraction numeric
@attribute Size.spark.memory.offHeap.size numeric
@attribute Size.spark.executor.memory numeric
@attribute Size.spark.broadcast.blockSize numeric
@attribute spark.shuffle.service.index.cache.entries numeric
@attribute Time.spark.rpc.lookupTimeout numeric
@attribute Time.spark.speculation.interval numeric
@attribute Time.spark.executor.heartbeatInterval numeric
@attribute Time.spark.dynamicAllocation.schedulerBacklogTimeout numeric
@attribute Size.spark.shuffle.file.buffer numeric
@attribute spark.shuffle.sort.bypassMergeThreshold numeric
@attribute Time.spark.locality.wait numeric
@attribute spark.speculation.quantile numeric
@attribute Size.spark.storage.memoryMapThreshold numeric
@attribute Time.spark.dynamicAllocation.executorIdleTimeout numeric
@attribute Time.spark.files.fetchTimeout numeric
@attribute spark.rpc.message.maxSize numeric
@attribute Time.spark.network.timeout numeric
@attribute spark.files.maxPartitionBytes numeric
@attribute spark.scheduler.minRegisteredResourcesRatio numeric
@attribute spark.storage.memoryFraction numeric
@attribute spark.executor.cores numeric
@attribute Time.spark.scheduler.revive.interval numeric
@attribute spark.task.cpus numeric
@attribute spark.memory.fraction numeric
@attribute spark.memory.storageFraction numeric
@attribute spark.storage.unrollFraction numeric
@attribute performance numeric

@data
3000,1048576,49152,0.2,0,1048576,4096,1024,120000,100,10000,1000,32,200,3000,0.75,2048,60000,60000,128,120000,134217728,0.8,0.6,1,1000,1,0.6,0.5,0.2,33
1014,2453260,69294,0.08718,13323478,11376368,247995,6600,353,1190,18343,3023,549700,54,8999,0.19523,324698,42141,223694,463,224,229053798,0.301102,0.748746,13.976052,2843,1.354064,0.067619,0.987662,0.910722,130
1547,10803363,1015181,0.687961,14723268,2053787,786102,9943,345,2593,22243,1144,387444,471,3307,0.835972,749185,59950,112397,922,276,1063181358,0.681826,0.502307,2.403844,7009,1.229531,0.582281,0.227095,0.593872,64
1584,12697985,602281,0.01399,12733176,7024299,772344,555,359,5743,28055,3109,392669,21,21572,0.030448,388034,30232,339283,162,302,417085242,0.464832,0.109283,7.567648,3721,1.42983,0.111819,0.31758,0.966727,127
1989,14860360,240674,0.812126,1738468,14221482,370300,7829,243,4193,10841,8389,106637,429,7987,0.12463,100855,299293,322034,789,91,1240006909,0.264474,0.788443,14.180583,9103,1.131388,0.27391,0.849693,0.509194,134
2255,14206225,949288,0.178844,7504443,6119813,511042,2342,313,1917,29922,4023,820901,340,15024,0.753203,738761,224573,165059,241,217,1028387231,0.238239,0.860383,2.129311,6519,1.434707,0.766137,0.674258,0.219384,71
2613,13106854,823977,0.950471,9054592,13294220,41478,5750,219,4273,7046,2579,495796,63,6975,0.369905,868987,241747,372314,629,324,1157211840,0.546384,0.975396,1.198456,7173,1.254362,0.806824,0.669294,0.989494,43
2761,14030972,916451,0.46582,4805541,3054613,527270,7682,131,8374,5324,7561,44,12,18897,0.025251,758704,533882,381962,874,267,1116328593,0.628925,0.127109,11.198385,1903,1.055051,0.267763,0.035564,0.888927,99
3102,6736719,56951,0.079511,691389,1861872,765673,3374,38,2069,1399,8679,250059,175,14666,0.469243,487858,373399,147377,84,117,34689596,0.472956,0.905804,2.665693,3672,1.92711,0.667014,0.810719,0.436732,70
3528,3926482,1001957,0.48252,2865902,8754248,599517,4338,180,9656,17398,3692,51472,240,15996,0.231903,660864,393044,239573,526,57,628083629,0.911103,0.679349,8.111737,6887,1.18812,0.259468,0.049776,0.531214,128
3708,7956648,562085,0.182857,1482858,5673802,1031959,6426,211,7491,14206,8204,270619,19,10473,0.433005,445209,253239,38975,638,114,784907320,0.526739,0.287389,1.138178,8568,1.598739,0.855133,0.859158,0.156337,42
3956,2932909,100368,0.452468,5145527,12723328,28539,2928,253,9907,26693,8098,288008,42,23488,0.526235,195914,267668,354529,568,179,1119272311,0.71552,0.483287,13.222704,5809,1.98809,0.60565,0.616656,0.060236,139
4255,6069221,74421,0.397101,15636923,11785667,736061,3241,59,9337,10531,4440,557686,333,12515,0.911308,982579,158904,580078,496,152,261577572,0.991677,0.42316,9.922058,2425,1.242936,0.895789,0.700284,0.038577,132
4557,8527067,16605,0.209674,5800638,14793828,458825,2817,202,5370,1160,5675,144851,215,18097,0.189442,603368,487942,276135,128,203,72733795,0.492939,0.336921,5.266596,9844,1.952602,0.431384,0.753711,0.294893,99
5044,7570842,540272,0.067629,5607977,6426409,666442,809,201,9173,18504,5289,778952,462,22858,0.744406,412454,538214,255195,981,38,1283605304,0.750539,0.76953,2.545198,1092,1.838895,0.387977,0.784309,0.056306,92
5087,7313493,185829,0.743602,5352424,4869948,337701,8988,289,6333,6387,2027,667733,166,15748,0.939451,550420,339002,193960,819,193,462158021,0.051869,0.153593,15.345159,9612,1.073896,0.695171,0.28513,0.868664,114
5532,3745692,286085,0.881735,10970689,9337384,830238,2645,44,3948,29115,3836,1026387,178,16914,0.503307,493765,327846,97220,741,71,1174385864,0.978098,0.00623,5.57852,9214,1.553885,0.642393,0.143567,0.87215,129
5716,2942331,437953,0.679062,3935447,10459209,654041,1211,269,558,23767,7243,522084,136,25550,0.21961,531874,119828,271854,543,99,17134454,0.948655,0.622851,3.357969,1335,1.191302,0.169202,0.095009,0.691558,94
6146,16523046,434582,0.519967,16103589,6034660,882379,1327,148,3752,23431,4279,746334,149,12016,0.549383,461086,593978,541947,786,44,742713048,0.898677,0.699543,4.087201,9511,1.918597,0.301831,0.728452,0.44391,89
