@relation InitialSetByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute maxConnections numeric
@attribute maxKeepAliveRequests numeric
@attribute connectionTimeout numeric
@attribute acceptorThreadCount numeric
@attribute minSpareThreads numeric
@attribute asyncTimeout numeric
@attribute socketBuffer numeric
@attribute maxThreads numeric
@attribute acceptCount numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric
@attribute performance numeric

@data
5000,8192,100,20000,1,10,30000,9000,200,100,200,20000,2330.3
11,12068,19010,72555,11.175811,2774,180693,84389,1541,7776,3147,52741,2609.7
636,23219,5486,205285,1.753174,9685,203691,47561,5697,7386,694,215408,2724.2
1479,23266,14651,265149,5.065558,3237,157459,97508,5937,7829,2635,276396,2751.3
2146,6414,1405,130211,6.386358,8158,72437,29136,14619,4711,8059,71456,2673.5
2876,19342,19835,160447,2.527854,8861,229236,92231,9667,7706,1787,194131,1974.9
3534,5486,6682,82602,23.397414,5751,15028,101968,3909,7594,5571,69021,2498.5
3722,28218,13055,84949,17.801206,125,175328,30417,4813,6134,8949,119114,2371.9
4556,1160,7290,211291,17.707286,5771,14604,44760,6658,2358,6099,146297,3083.4
5324,4496,5387,121105,19.913708,4799,86475,9831,11306,2107,3828,124633,1496.9
5639,26312,14363,266290,22.291559,6966,179590,65614,5478,9550,2447,30433,2802.8
6153,17908,2439,2451,20.813732,1342,87104,52841,1719,5621,8427,238090,2753.3
6802,24013,8044,71222,11.697643,9922,69413,2377,6846,198,6073,177948,2653.4
7431,24064,12993,67720,12.512108,8631,5748,6455,4586,7099,9002,144878,2875.1
8269,25761,7263,228198,11.835138,9989,188129,96558,14596,4494,1878,61001,2594.8
8777,27249,13700,161259,23.636543,1545,90784,53631,3684,9799,4611,115071,2743.7
9894,15390,13128,40394,13.258536,1791,46391,64178,6713,6381,9180,99076,2444.2
10650,25327,4930,220594,7.523636,1819,169760,31541,7196,5115,9549,78560,2946.5
11046,20759,5728,86549,16.258553,6840,263889,64404,11490,2172,1159,110662,1641.6
11815,11904,8431,80172,16.879104,1120,113833,95455,652,4071,3089,81922,2545.8
12412,19792,4515,77311,11.046711,4042,67078,37133,19485,76,5857,123623,2572.5
13005,8983,19259,21443,18.484978,5823,73710,14437,9807,4694,5813,235322,1932.2
13763,10605,3919,172110,3.737742,6524,152174,14888,11082,887,854,240993,2528.3
14188,27071,16204,101271,9.97383,9473,103772,80500,14824,9897,3968,175161,2067.1
14847,3479,2867,24602,20.052475,3601,297189,39690,2152,447,5756,249553,2508.6
15132,21819,4031,182490,23.980673,5394,165748,63837,13358,8488,8851,27938,2375.5
15830,9124,12214,20554,17.447616,7869,162109,29736,10960,6608,4808,280076,2671.8
16309,561,1264,216082,14.735757,5699,216680,91746,12383,8911,5116,229298,2382.3
17277,21243,10565,46995,8.93107,7680,24518,86623,19212,1252,7913,184524,2177.1
17415,2229,18890,13275,20.868605,4595,16428,72044,954,5958,1966,274423,2528.6
18125,16096,5257,226743,15.119564,179,106177,4507,15784,7552,3036,63157,2622.4
18940,28148,132,164658,21.138791,9184,173817,57870,9130,8586,5414,279085,2366
19230,9229,11333,112766,20.74283,8812,207409,17566,7380,5764,6480,190858,1639.8
20328,13663,14927,112147,11.318472,5796,110050,82800,14724,8199,570,224265,2250.9
20428,10952,19578,288984,5.734115,2900,264155,10666,4958,1427,1256,26156,2273
21068,21511,5444,180967,4.809176,1966,169111,62675,2815,105,8087,45163,2638.4
22015,28478,6095,6085,11.164256,5712,218165,9779,1265,2134,548,89318,2173.4
22765,14091,10625,96619,13.648867,1933,18672,57313,19079,5285,4154,293583,2834.2
23069,27235,9159,192647,16.150095,1475,234093,67814,3819,8524,6445,154512,2905.9
23820,4054,19381,92883,15.930776,1287,29757,26954,8588,2038,8478,172444,2607.4
24225,25645,7383,186844,4.709493,9409,297712,54853,10145,4995,2571,287725,2548.7
24873,24552,7487,56920,1.13502,339,264869,1961,18719,6501,2992,212468,2674.6
25224,3717,12166,149534,2.672677,3066,212564,93453,10740,1128,9927,297905,1926.1
26141,19698,5964,175440,20.343513,6079,279165,32972,8161,7260,1326,252125,2531.9
26943,10779,12094,30890,6.727213,3748,71879,66532,10393,6638,9860,34133,2398.9
27300,14271,11034,26479,7.274176,1529,146165,46124,15214,7292,3398,291781,2492.3
27943,26758,2476,262093,10.585333,3533,183604,13599,4034,1233,5001,41586,2697.6
28740,3380,17023,82066,14.635949,7677,172665,80461,15680,3854,3624,93209,2022
29120,2827,15716,240540,22.405888,7222,268522,15999,9728,3501,9813,46219,2897.5
29555,16145,12035,274620,1.425628,2819,21423,81337,4729,3698,5488,201530,2505
30213,27609,13403,37175,11.498686,6878,73030,35769,7636,6805,7395,10185,2565.8
30986,28658,18328,158465,20.667015,1156,41331,90996,9107,9705,3193,121243,1929.5
31449,27763,11378,260104,5.940464,2616,217003,73433,2698,4967,8124,230449,2870.3
31979,18381,12271,72779,13.386402,7371,199368,63469,8410,9502,7427,236301,2709
32767,372,10263,195223,10.053259,3990,23446,3516,15449,7515,6564,87526,4483.3
34024,28034,11253,59680,1.209435,3185,30363,72520,2785,8045,4069,210863,2837.9
34428,934,5851,237332,20.567576,3273,217881,89018,12236,3549,9588,297470,2595.2
34912,7649,18377,279622,16.579119,782,255041,19874,14456,8122,1290,198728,2666.9
35972,15721,10701,204661,15.241041,3678,228627,20505,203,7342,5082,49882,1696.7
36482,28971,15384,218562,6.533313,8735,146767,78140,18453,7116,2339,78811,2622.1
36765,9696,3827,182353,6.504267,1697,231214,86067,16035,8736,3429,187679,2564.2
37316,7285,10230,162879,5.795426,8252,62170,41558,11651,460,2608,120899,2614.9
38160,13596,9304,240675,3.547374,7022,278466,58325,4433,7161,3739,237057,2790.2
38539,11743,18428,151929,8.4035,2466,116627,92078,3515,6299,6720,60134,2763.1
39072,12681,16712,280776,9.022252,3013,141823,82154,8105,1112,365,4075,3734.1
39612,648,16752,49947,9.738874,1166,241461,22813,8033,9180,3319,215121,2011.7
40428,16949,66,101559,11.356581,8925,160754,52727,4074,1969,4451,110136,2622.7
41200,26788,5097,28731,13.038553,5595,266152,51111,15540,7303,9744,102685,2831.8
41861,19303,14785,71688,3.478239,2951,261267,56099,16750,4212,9483,44418,1864.7
42150,16047,1316,132196,6.936035,9515,95363,77774,10879,6254,1038,7439,3168.6
42668,6592,723,289811,20.493608,2824,177369,83125,12668,1206,3444,148170,2359.7
43574,10114,12469,107468,6.606853,6018,220550,94216,15159,7659,6829,198091,2395.6
44208,2058,18095,217229,12.234796,3849,287400,47459,8902,8717,8383,97370,2644.9
44984,25984,6812,117928,4.316598,9807,129449,8123,6375,8448,4719,51524,2571.7
45043,5108,9754,270600,20.124271,6565,23114,67733,18757,5707,5038,226991,2706.9
45759,5924,15940,129561,5.460669,3021,197816,28537,5607,5423,5228,20869,2856.6
46694,18058,17446,195817,22.758918,6169,19938,14590,19379,9909,2344,150032,2608.8
47393,27670,12839,190729,5.254513,4700,240703,58796,15840,5553,6313,247747,2635.8
47830,25245,12869,29135,3.589031,6684,98857,17824,1043,7954,9891,209679,2825
48519,1980,16668,10217,21.236621,5099,212852,84164,13629,1515,6169,205964,2440.9
48657,15190,3139,22790,7.479245,9368,247915,75071,10470,1638,2205,2062,3639.6
49439,7332,2028,283170,17.906021,1765,237004,90767,9065,6189,7093,171338,2680
50213,22842,8308,232497,11.277912,2871,39298,84678,16770,7054,1016,2647,3810.8
50657,4626,13731,118885,15.135543,2009,140969,23280,3847,7727,4377,30656,2733.2
51457,311,6153,189559,18.882935,8226,138217,33523,6993,5673,2262,263456,4213
51665,5574,14496,133947,22.493597,606,118509,97397,8056,34,5152,193135,1592.3
52540,10710,7233,99257,4.381566,5578,88852,70828,16194,4041,9430,122843,2831.7
53357,15985,9519,265206,15.974743,3894,94485,8962,4387,5144,237,154886,2717.6
53653,21650,7462,259593,18.187174,1517,270710,23124,478,6675,9837,128904,2043.7
54426,21050,16811,51964,9.430782,242,81761,21969,9195,2646,3247,233035,2854.7
55145,14734,19064,213133,18.40949,4671,81458,5588,17625,1574,7158,225177,2345
55629,26348,17824,34961,20.005661,4455,230080,49729,1421,9209,6477,35542,2789.2
56392,11131,1138,212908,22.866344,2691,117318,18167,18832,2151,7995,250399,1873.9
56561,3000,11688,54861,22.990914,1877,105097,12760,9380,2386,1849,257629,2737.1
57028,27513,9333,184846,2.086389,744,98201,63637,13274,5971,6555,85658,2682.6
57934,123,14573,275298,5.099927,8021,186934,28204,2250,1468,3338,69780,3000.3
58306,12029,18991,209781,17.745835,2165,8174,72426,19726,7882,8282,75834,2617.9
59096,19905,1820,130889,4.232762,8770,85612,33365,1381,4081,7618,22132,2948.9
59501,12885,6400,155218,13.893689,1417,103085,42003,19080,5510,8004,195351,2934.9
60490,4954,4728,63175,5.598816,6921,260908,9449,14330,374,9106,170288,2616.5
60628,26963,1172,111382,16.77551,6322,135249,79819,8135,8987,6521,26646,1529.3
61686,12766,15898,108214,8.436057,7282,277412,41221,18403,1301,6612,68111,2623.6
61889,25884,19542,119455,13.323197,237,38481,52169,19979,4381,5998,246456,2997
62579,3506,6596,293265,6.165104,5450,249264,44492,2054,9009,6960,91796,2996
63012,16277,18640,255817,17.675807,4178,153060,98684,125,3971,6415,211449,2543
64100,9978,15761,207782,17.139914,4575,112478,45874,11601,4784,2722,261501,2681.6
64601,13704,16535,256489,3.519912,1266,260372,7495,12994,2261,8777,103799,1980.2
64926,26251,7673,100687,15.484317,8615,274816,8595,5862,5034,7894,178328,2905.6
65969,6521,8587,266704,16.091507,7636,221132,68305,17801,3168,3541,6715,3077.5
66431,29851,3603,236414,18.155168,5374,189631,79063,6630,1863,762,143820,2191.3
66656,26493,11965,248297,20.394978,4368,28722,19180,3558,8434,660,77244,2706.5
67672,21087,923,149205,9.062383,1054,83135,54147,13440,6571,5331,149495,2932.2
68216,26651,9990,104151,14.002132,6093,167214,28016,1216,8214,5069,195638,2806.9
68951,24307,7168,289646,15.289591,3115,219424,50283,9553,7852,7932,288660,2609.9
69373,26427,3398,107074,1.811796,1259,235997,34409,3394,1659,1461,205524,2780.1
69637,27851,1761,277630,3.986686,2645,208553,27803,603,4725,941,38532,2517.3
70630,6192,4552,108857,8.336007,7092,55179,63201,7555,431,982,145658,2657.4
71304,22380,4188,115821,23.56102,6999,241188,93129,9904,7908,4783,242401,2641.7
71525,21169,7039,199984,5.654275,3769,53848,37552,2658,9403,482,96192,2741.3
72160,25291,430,148319,2.139506,7574,109260,42311,9455,8695,9470,112582,2175.7
72724,13203,11870,144638,23.88896,5061,281966,96875,10327,4761,7795,61757,2810
73726,22752,3659,93108,21.999377,8437,60030,76847,8946,8477,8258,285983,2199.4
74249,29668,7689,191583,18.720234,5293,46694,34618,16954,3583,3361,239978,2809.2
74635,22173,4439,256856,3.320872,8136,278538,93275,12578,8758,4462,210515,2516
75123,9563,14904,230662,14.942674,7706,282359,58396,16714,1814,9046,65219,2685.2
75814,18957,12635,177780,7.304592,4187,258269,69250,15646,7255,1654,13102,3054.3
76227,14209,4149,57195,18.954956,9482,243986,34289,19790,3245,5399,254882,2671.5
77027,13078,6476,18235,14.565802,9130,6504,45201,5036,611,7944,197797,2561.8
77564,12954,10907,6906,2.869691,6369,156456,41945,1162,9985,6186,259162,2775.9
78522,26880,12736,208627,23.539418,2781,249954,94899,4,8562,7229,155876,2586.9
78617,22670,9085,202371,17.255887,7305,136363,43432,12245,4562,7715,246870,2607.3
79481,15146,465,163433,2.456951,1825,226693,42823,12731,7660,1985,293097,2744.9
79895,14837,9575,154328,18.222057,4291,155688,50986,170,5237,3646,95735,2121.4
80700,15420,10103,115211,19.484154,5728,157700,31178,16617,1387,349,186519,2930.7
81457,11567,19095,103710,8.721482,1458,174405,99323,19165,9849,5279,292495,2574.2
81711,28362,16494,222277,6.679646,8211,262185,10082,6471,1289,2418,107145,2380.9
82799,13895,5036,152867,18.308621,8374,92550,46046,16086,8391,1400,123285,1736.9
83064,6008,1863,87864,18.286252,971,89025,73693,10570,4759,8447,104900,2514.5
83820,12549,9846,27142,20.173204,2501,65224,32710,10625,9804,2766,64536,2517.9
84281,26571,11886,286698,18.828332,6411,223492,87405,10807,7239,3220,153116,2669.7
84916,19665,7560,65342,10.697982,4939,104199,65291,778,9163,8164,11790,2879.4
85509,12529,675,249535,5.337843,4912,117621,1204,19899,928,2017,258097,2460.1
86242,7893,13644,273390,8.56367,6731,246046,47259,13571,9560,8034,102151,2668.9
86672,8114,15309,244689,15.647408,4153,124958,7747,16152,4918,4276,296281,1844.6
87489,2137,12792,177191,20.28208,3142,147943,96270,1865,3155,4975,90464,1425.9
87656,7131,13798,121979,18.370138,4750,171543,17694,18037,5170,4541,286646,2424.2
88503,7429,19315,83896,6.813942,7545,101217,60925,14552,9581,7481,206654,2477.2
89031,25413,2221,241848,21.885464,7764,257615,19602,15999,7213,6048,151982,2250.4
89413,6897,6796,19909,5.401442,7011,60644,68591,14116,3104,5938,24022,2645.4
90532,503,11233,104774,19.623748,1601,222083,37009,19837,669,9851,75379,1809.1
90873,11273,16410,58907,1.534968,8585,143173,32466,18626,1021,4747,105205,2471.1
91313,29263,2193,813,15.197915,6345,239002,84808,17847,2545,242,286853,2748.5
92201,21429,2806,97718,12.165074,6021,193648,71464,12924,2304,6245,192323,2694.6
92493,19397,102,127305,22.307886,2394,262358,92439,9635,759,7126,66758,2799.3
93118,19202,14027,190842,10.108178,8702,225799,94160,15264,1734,7074,207716,1770
93706,11687,18455,43294,9.151038,6782,255912,77539,3624,2505,39,211995,2806.8
94759,25976,5523,251145,23.313996,9348,10319,102356,14258,1160,2910,57473,2248.8
95280,22000,2152,225370,4.517483,9237,161401,101656,3077,1741,1040,227799,2550.5
95773,16436,15558,295617,17.070217,3487,191482,60340,15005,7863,3530,55485,2710.8
96245,15811,17638,38401,9.922401,3510,231819,30836,13992,1264,7875,17979,2565.8
96874,6329,4710,114825,2.407434,4656,220408,79622,15946,3716,9442,98301,2558.4
97711,14492,808,99747,17.593188,2844,125430,90180,7087,3563,5190,251498,2617.5
97968,17093,6748,12046,7.092834,3711,66191,11894,8339,5727,8335,25036,1888.9
98507,443,10490,26154,4.040694,7246,17538,69091,12784,985,2312,248401,2700.2
99111,16608,975,180018,12.374655,3812,127413,55134,8829,1690,9760,289498,2574.2
100115,10533,9793,286184,8.063276,9917,285932,95424,12850,2572,1230,181235,2596.6
100525,4262,3021,227797,11.918919,7417,234652,46870,12305,3019,5964,179486,2648.6
100904,6708,16915,239097,14.999961,5207,186209,59992,15431,6349,9575,90884,2721.5
101828,14669,12935,29544,10.877452,1433,111236,34085,11199,2819,4847,159730,2735.6
102396,18132,18742,221151,20.512449,9946,40374,13167,4169,5054,1425,236881,2760.1
102608,15103,17165,279036,1.261687,6603,111680,14235,5676,2361,8741,131724,2541.6
103651,15903,12074,32303,17.999225,8572,39261,36018,7938,6952,7965,217004,2420.3
104194,4603,9882,295039,12.046278,4331,126339,59100,359,800,5527,18015,2777.3
104435,17749,10175,170222,7.036541,5659,237503,55836,7755,5323,9500,150702,2657.8
105444,2625,13894,181419,11.404008,1749,57477,40254,8296,7401,7025,133911,2262.1
106126,21688,18791,197061,10.404514,4862,140777,99656,9322,9032,451,6088,2807.1
106527,8612,10358,281227,2.997026,3920,266863,81960,17343,4679,1694,189066,2669.2
107337,7448,6945,186007,23.236114,4094,75920,601,14704,3397,5179,269340,2256.6
107796,20511,16988,113761,9.108892,105,130240,76694,15605,6219,1700,290397,2646.3
108118,29939,18033,268773,23.780284,6200,115752,22368,6194,6583,4562,94725,2460.2
109039,19828,17862,226907,11.763463,3643,11935,100435,5239,2629,5654,113710,1757.1
109200,18337,6850,76326,8.899961,4945,276777,30674,13216,3281,9139,218605,2730.9
110305,21306,2045,241679,10.756114,9160,252861,44225,13406,3370,3073,241560,2371.2
110857,13763,9017,283531,18.449248,156,110850,20976,4615,723,1217,136941,2673.7
111492,25711,5359,14766,8.486304,9006,288424,31337,12064,5584,6755,299064,2542.5
111935,11605,13802,150117,2.3775,5524,15939,48787,13179,5305,3341,108948,2623.9
112791,9746,3692,252688,13.793997,5842,36496,41102,18522,4007,866,85053,2526
113339,21394,582,18897,7.213587,1486,280012,10248,6049,9433,135,280311,2799.6
113471,1094,16144,95696,9.215943,5872,290412,29519,5336,6721,3778,8192,2856
114214,21543,13511,54005,9.377071,6196,294712,35620,8526,9863,7830,98733,1986.2
115013,669,2481,199080,9.675332,4134,165342,15106,11469,718,2933,199578,2530.8
115625,1004,18073,10960,16.202582,4526,193274,1577,11226,1557,8586,166307,3894
116161,14539,13205,129751,21.711825,8526,75616,27407,12546,8291,5959,245113,2756.1
116657,2198,17289,120596,14.687128,3379,25939,75818,5964,1006,3879,93996,2683.7
117000,18515,19604,34061,4.976461,4257,283237,83429,2217,6695,4256,153877,2856.2
118043,7829,16372,49008,14.843619,5886,3755,43648,6509,6168,9637,217401,2403
118745,9863,17576,296398,3.093473,5328,63544,10475,2611,2285,9341,33098,2720.8
119157,26879,10854,40025,18.071334,6907,237838,48412,4087,4878,6294,234807,2709.2
119831,24401,15619,236058,8.81649,2599,27948,85419,18514,1947,7590,9039,2814.8
120160,21767,5197,183274,12.641618,5486,107432,86316,11370,8111,7801,233599,1782.4
121103,27129,7614,127000,15.896159,9854,227749,28730,10511,2411,5240,99711,2974.6
121441,22936,19648,85242,6.22455,940,196073,90542,3658,5069,1121,284513,2173.8
122385,10489,6230,70301,4.953672,3041,236026,65069,9407,7142,6919,200818,2416.2
122851,4682,3067,264488,2.813839,2039,142174,18707,4448,7536,3781,288330,2781.1
123533,20988,19210,260416,21.262226,7388,229913,53060,8464,4477,114,168943,2672.2
124164,1279,10402,68542,1.710723,8506,256814,61413,16389,4645,3669,169783,2538.5
124552,5781,7597,164160,18.935916,8390,143869,88769,14011,5007,900,253090,2594.1
125356,20446,5583,65710,19.1891,8781,44249,35215,16273,794,2439,283166,1890.8
125577,13002,1233,253814,12.815056,4499,163558,62596,6401,2831,8206,250893,2197.5
126051,17976,8844,162439,22.477678,438,29277,98837,19420,6539,140,222739,1949.2
127004,8320,13190,221965,12.286464,81,134160,24918,6293,3649,92,255100,2642.6
127216,12459,10726,272366,3.990386,8980,90663,15514,16341,2073,4777,163295,2020.5
127861,1342,7736,187206,19.876688,2987,273962,81582,304,1048,3120,191531,2697.6
128757,3727,14263,109385,7.3558,9727,190159,50675,19561,9679,2479,239290,2498.4
129025,2030,18599,139178,7.581704,9530,216005,23583,13796,2921,417,188248,1944.4
129999,22022,15155,196576,2.597861,9289,26319,69912,8688,3678,6806,74028,2451.8
130647,1676,3219,179598,21.958084,9783,293231,16983,81,1609,6422,244617,2703
131186,6993,5902,192023,21.78962,3334,152326,92662,7013,875,7219,32948,2641.6
131913,11497,18854,102648,20.416136,8081,210685,20243,8390,7756,7671,12088,2691.5
132516,5084,3164,174465,10.08128,7613,214254,86832,16493,6719,4103,114258,2736.5
132997,214,14878,223065,13.745044,9449,159120,89280,17427,5415,1445,161701,4091.3
133325,7048,18623,82896,14.265297,9635,43201,17350,1638,6824,6649,231639,1487.1
133829,5364,11549,147623,8.313487,2718,114243,61634,15503,6010,5372,232635,2587.2
134823,1531,16068,243781,5.838788,4030,131700,77401,869,7637,4698,18957,1902
135244,9394,269,19430,6.38077,4233,133740,31813,19627,6483,606,260083,2433.6
136132,23518,3468,135688,21.423003,704,121501,61902,1588,9615,8837,4619,3831.8
136219,6433,17539,153435,17.294969,5245,200662,99077,17175,6043,8531,15708,2988.5
137884,26189,2930,17477,3.386077,6548,31205,78732,12329,7963,8308,133439,2270.7
138353,23891,11678,39313,11.771197,9208,19275,70518,15091,6928,4320,139563,2712.9
138696,9643,3856,62755,20.633696,4770,61030,68975,1671,6455,9170,158971,2761.9
139539,15266,176,48108,8.180269,7839,296859,39135,1820,6784,1063,166120,2345.1
140172,27581,2970,154171,9.338249,6305,204887,26813,1307,8419,1082,83822,2495.8
140771,20592,8088,261547,7.793809,7207,50818,96784,7913,1760,9697,38364,2415.7
141276,20247,15874,41508,19.98824,5419,259071,69510,14189,517,1546,184810,2617.2
