@relation InitialSetByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute maxConnections numeric
@attribute maxKeepAliveRequests numeric
@attribute connectionTimeout numeric
@attribute acceptorThreadCount numeric
@attribute minSpareThreads numeric
@attribute asyncTimeout numeric
@attribute socketBuffer numeric
@attribute maxThreads numeric
@attribute acceptCount numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric
@attribute performance numeric

@data
99,27061,17454,294133,8.405154,4295,260085,16604,33,4320,318,246873,2140.1
3933,7417,7569,278948,3.390749,8243,251851,69845,10157,9451,7150,40731,2634.8
6977,29987,12165,252056,5.919485,227,255746,55149,14612,6863,4047,214913,3153.6
9783,4320,19452,43585,11.850989,1547,98376,84915,8753,9156,8334,126620,2904.3
14344,5516,19696,249697,7.102572,9856,78942,17687,13535,4283,9425,112645,-1
15796,10876,1300,220343,5.322351,1022,182459,100145,19032,8398,9978,57801,2397.1
19064,7737,5456,225281,10.895932,6313,193093,88952,6101,4444,6009,122954,2197.4
22107,28986,16696,248332,1.763568,4597,89868,52236,19631,2044,7962,172882,2797.4
25343,18397,4994,69361,1.216879,7869,197215,15313,1761,7495,5292,125150,2553.2
28675,16386,13825,145609,9.28914,7357,38484,62917,1323,3757,7755,161770,2466
32275,11578,11778,41843,19.50092,601,115245,101469,4529,1226,473,54664,2690.2
33932,2368,2136,196203,6.293439,3722,138663,18720,5396,3404,5679,117852,-1
37331,9572,3320,51832,18.455378,6143,284784,12622,13095,119,3787,270860,2627.9
41070,16910,3857,92061,12.405107,5306,176752,11668,19550,2311,6682,33043,1902.4
44620,28275,15988,140446,17.549274,3841,32400,70961,3635,4009,3666,291395,2641.3
47667,13143,6018,147974,7.570557,2718,47973,39885,643,6296,3918,175987,-1
49494,16620,8913,61551,20.062008,5223,26648,59757,11981,5440,6579,219276,2280
52111,17742,7285,191276,10.692849,7685,35763,93338,7458,2265,2880,231476,2536.1
55849,19428,15406,5061,1.650887,8835,113498,7331,12864,1574,3071,81582,2367.8
57039,14031,3600,173872,15.669743,1425,210132,83051,7949,7271,1642,212875,2557.5
60181,13746,6409,35268,5.605021,4723,298543,57763,19365,3104,7404,69487,1353.2
65731,3732,1421,170895,19.78221,2089,51258,51375,12011,7952,4389,184108,1829.4
66251,4901,2504,80343,5.110648,3062,27975,77491,11395,3659,2551,107034,2799
71179,15106,11846,113042,11.442195,949,18187,13622,12333,3207,8048,277513,2765
74923,25682,4275,2952,16.310404,3242,216981,42476,460,316,8423,218830,2777.7
77286,1358,13330,257385,21.265918,3508,40843,10477,7096,2883,8255,223604,1732.2
78520,455,274,164660,15.876604,6282,269750,89181,8202,5658,1018,50580,2537.5
81393,6498,10367,126226,9.986502,5150,199878,90657,11555,8464,3312,249548,2525.1
86768,20428,1672,98545,21.186042,6828,15927,4789,3498,2534,3407,205142,2798.6
