@relation InitialSetByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute maxConnections numeric
@attribute maxKeepAliveRequests numeric
@attribute connectionTimeout numeric
@attribute acceptorThreadCount numeric
@attribute minSpareThreads numeric
@attribute asyncTimeout numeric
@attribute socketBuffer numeric
@attribute maxThreads numeric
@attribute acceptCount numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric
@attribute performance numeric

@data
5000,8192,100,20000,1,10,30000,9000,200,100,200,20000,1000
99,28920,552,267547,12.155305,3371,267683,99350,6291,5076,8792,189757,1000
4862,26174,5216,240213,15.472159,716,12402,95011,15206,8315,5245,36267,1000
7227,8402,702,232704,23.091366,4410,167653,61633,19979,9010,1810,194260,1000
9628,11828,1358,203704,14.828266,2216,40756,43279,19481,9939,5040,260441,1000
13761,6203,15171,75736,22.092013,6537,191558,3628,13696,2354,3487,166324,1000
15178,19078,3427,196787,5.210787,1756,138310,69361,8274,1360,4027,14726,1000
18880,10957,5921,102658,10.564283,7651,2433,34952,10189,7578,2497,160510,1000
23543,173,5107,53863,19.009797,235,51610,31930,16166,3792,7958,140976,1000
26225,8386,6898,229901,14.283786,9034,194717,84071,7478,2752,4560,280718,1000
29426,20184,4361,99322,2.499188,4025,284823,79915,177,5579,4637,231834,1000
31322,11395,7101,251293,7.179991,1092,178844,95328,5964,3061,967,141059,1000
35898,11590,5588,111322,8.908523,589,187277,101888,15936,9651,5332,209825,1000
37438,4989,18646,119366,14.4578,6071,32701,33526,8186,7331,4974,220214,1000
40531,3273,16985,298821,5.400887,4562,103022,81501,5032,5819,4240,149511,1000
43334,17500,19372,219785,6.591677,7322,233705,69634,6826,3450,9702,287368,1000
45316,19519,18333,156542,4.346763,3715,281125,54848,1621,4742,9878,215632,1000
49117,2308,19537,37452,18.496155,8444,39075,36303,1372,1468,2592,23483,1000
51444,597,1515,150280,11.261474,94,7115,37023,8865,7826,5452,79913,1000
55153,15899,235,96564,2.713974,2318,60653,63279,7329,2820,7509,71481,1000
57770,15528,18895,4746,6.101227,6934,204503,75518,18806,5244,2620,113946,1000
62735,10284,7999,27720,4.680669,1529,26028,75973,9715,206,9993,105637,1000
64561,20478,16771,23863,1.940308,7864,153171,65081,13922,2501,5947,17355,1000
67983,3586,4099,48833,8.251878,2420,30603,6329,2608,8003,3304,222226,1000
69842,23355,11319,114194,10.749457,3862,290880,25910,3872,452,2225,30127,1000
74170,1551,8520,292419,21.267168,7132,23319,63763,11179,3128,1312,158233,1000
76438,25154,14947,110922,17.452962,3420,71784,8251,13396,7972,8199,239825,1000
79429,22353,10818,140572,2.911664,3538,76409,34310,7909,344,8214,88657,1000
83532,12620,7781,182567,22.559522,1343,128817,48306,16965,4231,6436,179088,1000
84557,23606,2539,74648,10.254271,643,261752,30290,6686,194,7294,39746,1000
88323,2908,3891,154357,8.099406,3180,244852,20994,7042,3913,9405,240587,1000
91369,9975,4910,93493,6.448784,9644,108330,22794,7799,1506,9656,53176,1000
94129,4243,10292,13932,16.30795,5453,225210,100684,1848,9797,277,104387,1000
98808,29871,14372,70734,21.12166,345,64793,53488,10632,2495,84,102000,1000
100993,28442,13610,188810,9.142939,7254,132355,60088,611,4173,8948,206368,1000
104763,18187,9574,18461,20.447763,7086,299673,87724,5753,5665,2728,49902,1000
106645,7429,9173,167790,9.610901,2610,285214,49184,14480,4378,3655,55144,1000
110322,7565,16491,127327,4.592848,3227,101945,85006,3726,4679,7310,171071,1000
113398,25447,9288,255206,19.914859,8844,6023,60866,8578,9258,3932,243645,1000
114887,14032,14796,237886,20.64909,1988,134822,40870,11420,4452,384,294734,1000
119298,20877,8991,15731,3.843584,4166,266767,90815,2876,4006,7624,182307,1000
121383,17360,13035,87708,8.78744,5553,246315,65757,11859,5391,8525,247154,1000
123623,9099,14115,264128,12.959874,8900,85143,72745,11278,1719,3162,84515,1000
126510,9893,16244,143575,17.188095,2776,141031,68059,2471,4879,6112,25641,1000
129560,6544,10463,26161,1.912917,8207,213562,77385,491,6387,1760,174759,1000
134734,18377,13462,215812,18.41788,9941,180988,66921,17299,6781,6728,293885,1000
136642,22056,44,183538,1.347259,6262,157367,88306,11745,2095,7099,164654,1000
139498,25590,11058,123548,18.87082,888,80314,14359,4519,6517,500,98652,1000
143266,6828,17431,130632,17.668429,4821,162647,56450,1485,1804,4890,203759,1000
144836,21040,1853,8465,22.265698,2885,145428,89302,10321,3831,146,282644,1000
