@relation SamplesByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute maxConnections numeric
@attribute maxKeepAliveRequests numeric
@attribute connectionTimeout numeric
@attribute acceptorThreadCount numeric
@attribute minSpareThreads numeric
@attribute asyncTimeout numeric
@attribute socketBuffer numeric
@attribute maxThreads numeric
@attribute acceptCount numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric
@attribute performance numeric

@data
1918,5331,12160,129455,1.177933,3070,7121,55855,8154,917,2870,17739,2937.1
2143,4012,4238,246851,9.105663,1913,58427,90078,2538,620,946,63948,2326.2
3721,12028,2382,109940,11.471634,4836,4984,33656,16468,717,3786,198239,2559.7
4275,6029,3449,96131,16.296471,7695,80596,45392,10478,6192,1720,283226,2588
5388,1633,12802,64287,22.533038,8711,52121,39262,12661,9638,1981,145237,2315.5
6503,29010,9895,227793,18.954373,7939,97093,59861,6033,3935,8083,285843,2724.1
7708,19332,3086,36298,3.735692,1066,202916,8043,11312,495,7048,61352,2360.6
8137,27346,9722,62610,12.915985,7868,135369,16614,9734,3119,6746,189641,2381.5
9275,11698,741,283025,4.523357,4921,48246,14398,2056,8400,6261,190136,2699.3
10196,27070,8048,86461,13.22732,566,267242,15553,17338,72,1203,244328,2188.1
