@relation SamplesByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute maxConnections numeric
@attribute maxKeepAliveRequests numeric
@attribute connectionTimeout numeric
@attribute acceptorThreadCount numeric
@attribute minSpareThreads numeric
@attribute asyncTimeout numeric
@attribute socketBuffer numeric
@attribute maxThreads numeric
@attribute acceptCount numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric

@data
185,15864,3580,30363,20.822065,3844,186316,36789,18613,3779,8860,280719
1918,5331,12160,129455,1.177933,3070,7121,55855,8154,917,2870,17739
2143,4012,4238,246851,9.105663,1913,58427,90078,2538,620,946,63948
3721,12028,2382,109940,11.471634,4836,4984,33656,16468,717,3786,198239
4275,6029,3449,96131,16.296471,7695,80596,45392,10478,6192,1720,283226
5388,1633,12802,64287,22.533038,8711,52121,39262,12661,9638,1981,145237
6503,29010,9895,227793,18.954373,7939,97093,59861,6033,3935,8083,285843
7708,19332,3086,36298,3.735692,1066,202916,8043,11312,495,7048,61352
8137,27346,9722,62610,12.915985,7868,135369,16614,9734,3119,6746,189641
9275,11698,741,283025,4.523357,4921,48246,14398,2056,8400,6261,190136
10196,27070,8048,86461,13.22732,566,267242,15553,17338,72,1203,244328
11502,19083,19245,10266,23.064262,4576,218111,78025,11145,8560,1673,279334
12679,1283,11440,231374,16.242438,5809,38468,97175,10072,955,3389,262346
13490,4328,7963,200649,12.340176,417,109289,49122,17862,7933,9984,91542
14173,28706,6243,234722,21.698865,6159,262849,48473,349,3320,8683,294083
15302,25359,7470,41533,11.090661,5530,63128,70363,14836,6568,2973,62254
16491,2315,17172,170918,3.453078,7461,64380,62230,12813,1911,748,123531
17435,10019,10311,68146,6.172076,5428,24974,26709,5913,1394,4269,202462
18236,7953,3823,254184,18.265184,3319,283270,99302,15076,6996,4532,159702
19525,7475,1253,223679,4.916673,904,239772,75085,8309,6806,455,277280
20476,22221,6476,191210,13.374425,5392,96021,88637,15142,2758,846,185379
21596,5179,2083,71283,10.569698,2700,232722,92383,4958,3860,9309,36279
22942,23322,14010,185776,9.356288,679,153566,60666,5459,4747,9446,40027
23371,11488,579,45152,19.631521,6372,167937,42198,6833,195,5433,261483
24411,20354,2820,123673,23.924544,6025,187490,74345,10308,2013,7387,152928
25459,24065,18938,1168,11.29434,3622,279322,34511,9722,1106,8165,64244
26204,28228,16761,288485,5.493968,3416,159967,27956,13892,127,1102,219891
27454,6510,6803,207781,7.052184,5542,72136,19633,6729,8115,639,94412
28956,3642,13471,99062,18.045415,7222,117821,1232,15791,2809,4888,53077
29233,24104,8915,215092,10.708736,3811,161975,86922,5624,3978,525,87525
30083,21613,6449,147757,2.227336,6576,241218,35680,3463,3340,6225,116782
31004,14562,5378,296328,12.853382,434,81106,57092,19132,7240,2812,165967
32608,4286,17727,289755,20.737058,6926,138875,24048,1086,6267,7869,70261
33896,25023,1547,261160,21.331668,5069,2416,91414,2872,3049,8651,13272
34270,6940,11056,89058,13.187615,5058,88760,28077,12576,2056,1666,236895
35128,22828,13983,267571,19.072236,4707,86128,77346,711,5132,1619,59051
36084,7182,14698,160961,7.181746,7794,213905,90711,797,7891,5529,154288
37055,24860,7169,256205,18.141427,1144,104761,24721,896,7078,9563,137224
38760,13189,13591,124092,10.017201,299,299775,78818,1411,8727,4392,258120
39639,4454,16297,52423,23.41261,9723,220026,4270,9432,4803,5246,204507
40662,23233,14970,189327,2.30998,4155,194116,66942,18219,9029,5926,49827
41123,13092,15921,263485,12.966444,2932,56049,13106,10014,7111,6850,229359
42216,16720,6345,285181,18.224629,8354,205219,81070,7172,5275,6641,22423
43962,348,1383,46586,18.590781,2567,128460,95222,19830,5810,1838,231840
44945,21296,18564,236464,5.686556,3353,133390,94036,1754,9891,288,241063
45311,2840,2599,194671,8.964761,2871,223783,638,2513,1722,6045,135065
46529,7239,16975,25310,20.630488,1251,41721,47777,15044,3452,1562,42142
47590,5021,16243,100244,23.560799,3398,255238,56285,19179,6714,2623,113226
48585,18109,13893,141878,21.051718,9325,67928,41263,11011,6868,4199,60018
49942,7392,5007,275615,19.537351,1985,99519,92594,6483,2263,6686,282356
50061,12831,14766,114320,8.61257,5333,74544,17122,15532,2198,3692,181694
51617,3435,11324,221284,15.394506,4697,88042,33355,7232,5574,8263,30308
52432,7656,17618,87816,6.249075,8825,273927,26994,13961,6839,2505,56012
53571,26302,17566,238408,23.833599,3653,228461,10180,1612,1021,1326,103622
54091,23192,7778,232775,6.848627,9576,140528,37450,8569,5740,9411,71194
55835,18089,18249,2560,10.63791,2103,297892,101080,3873,9734,6456,156267
56636,15721,2516,61515,17.815269,6647,83203,102037,17623,11,567,48808
57431,1709,4148,250215,1.487307,7858,3397,6452,18796,3549,4484,197408
58940,14136,841,33983,21.60838,6236,31102,42709,11488,8024,7865,28476
59897,27707,17776,183682,17.652225,2153,224428,23042,17261,9055,9493,243694
60187,13270,15361,152369,13.909744,8899,280470,64394,19738,421,3539,167900
61693,28524,9295,47405,17.948189,163,111079,23846,1705,8300,4309,164737
62296,1897,7304,93668,8.46645,3926,24175,4656,1891,5624,8410,270035
63049,11869,14120,158855,3.957918,1306,110059,98457,6369,6696,1571,69737
64389,18919,5629,278503,15.436259,4209,269238,102286,8725,9729,8615,89473
65038,24354,2746,293456,8.777226,9098,79489,19021,14373,3879,4829,158463
66229,21195,12632,299824,17.331218,8757,203958,41448,7838,4841,118,37374
67920,846,8552,78238,21.450105,2176,82250,20834,1258,5876,6087,184029
68791,1441,1480,84255,4.011171,7145,155893,45903,11942,3674,1444,83512
69050,12180,7336,97162,1.090847,2379,103797,2500,16004,8289,6969,5160
70394,16623,6620,55208,12.584605,3459,76184,47292,4482,6323,3136,268257
71890,4979,19111,220346,10.893612,178,214945,54003,17491,2424,9030,228912
72044,22949,11828,4065,13.596805,1570,164841,54650,14899,9128,6510,10579
73925,3166,5874,202599,20.475624,3000,95121,55402,5674,7032,2727,133041
74928,3077,259,131002,1.791115,7577,6101,71398,617,7136,1175,160380
75517,26549,3655,216990,9.699388,7982,33111,63422,4827,9136,8520,196445
76207,17230,19295,166290,7.434914,1642,117051,43861,8915,5242,9214,195749
77996,9241,2990,112400,9.475142,6824,22951,85202,11570,7202,217,163427
78540,10301,15678,292138,11.251131,8993,199070,5336,16196,2658,2286,47947
79531,12510,15482,69241,6.780578,3552,209705,69214,8835,1259,6801,81683
80996,21042,11711,67411,21.708562,6554,291119,27490,16719,6087,9620,256204
81571,24507,13632,17806,5.014045,5151,100612,41910,5946,2068,4638,106235
82286,19704,9554,119779,21.213473,8388,296978,24480,7385,4088,4570,176658
83898,601,5775,7942,4.806619,9988,54964,83645,9065,9344,7526,4761
84467,15067,10500,201156,22.054104,3948,257736,98663,16839,1357,2671,109990
85593,11007,16602,233998,15.054247,8611,65753,59647,2267,4449,8907,216006
86546,5469,16916,168457,11.895543,7525,230834,33035,11897,2711,401,192607
87446,17414,4802,121246,9.907,8854,190109,52766,10672,1193,9863,235248
88650,9430,4882,150040,8.554919,2564,242816,12756,13722,3901,3273,253426
89613,19523,18726,120224,3.231665,5744,147698,90278,13467,7047,3188,6979
90680,26828,18416,18380,2.436062,3181,35707,82989,12069,4655,5685,114589
91559,9765,13139,145696,19.933034,4078,47610,8882,13263,7584,5044,38297
92614,9368,14899,8806,13.675234,510,93287,72673,14315,5914,7167,139689
93579,3354,14819,116198,22.375116,8430,284660,58069,9544,298,7552,290676
94885,7557,10945,143389,5.922071,6058,167371,72081,2367,6223,8801,140321
95441,9901,4735,101333,14.612638,8939,281779,10426,5330,5044,392,266070
96485,16476,13442,38280,17.552374,9823,124709,35258,8986,4197,7492,212042
97945,25295,19394,237301,5.282391,1073,216519,89054,14190,1224,7125,222554
98739,16112,1431,22090,2.188513,2783,28812,37853,2810,4355,7279,291063
99440,26711,6972,90344,17.326453,4518,54755,58508,8434,7771,6271,107956
100892,24987,3383,195137,19.27244,5218,192459,95753,9620,1499,2018,29236
101591,11217,18187,76052,15.108508,7642,89904,50037,495,8167,7313,118163
102940,2494,4521,173624,15.905412,3279,87110,86386,10373,7269,3623,74170
103942,11184,17251,192744,16.176971,7710,182647,66079,12388,1941,3921,121070
104370,24742,11631,247077,14.847735,1336,32808,38456,19402,3666,6308,293558
105065,6436,15413,249367,4.354462,3728,69092,40214,4018,9251,8774,143355
106729,4657,8785,43620,9.807645,8200,50372,79480,18171,6334,8938,88023
107335,14760,6910,125596,14.179004,6068,293956,65235,7980,696,6925,92539
108187,8191,14239,102907,19.167628,4736,218557,7360,16578,4980,9521,264057
109636,28688,9038,186116,21.968164,1854,40607,44624,935,3503,2767,298026
110513,12238,11994,21791,6.108968,8266,114781,80541,16282,6244,3740,73902
111528,14633,2447,44258,8.356499,3769,44181,51055,10229,3249,4674,296073
112130,18675,1087,88040,11.824494,1124,163690,11307,7622,4292,5973,57412
113671,23501,18660,165447,22.809209,2607,140568,15950,3685,6624,1880,144892
114175,17041,13128,74700,20.6053,865,57725,50311,3361,3031,1764,157248
115552,10150,10566,178172,7.954016,5682,120390,68686,7454,6499,5151,85323
116718,9656,2021,169898,7.796425,8165,258820,22740,5192,4519,6476,223971
117815,10450,16056,214406,21.802493,758,123908,68061,14694,3762,2109,31797
